Zeit (TT-MM hh:mm),Wärme gesamt (kW)
01-01 00:00,0.016867469879518072
01-01 01:00,0.014457831325301203
01-01 02:00,0.012048192771084338
01-01 03:00,0.012048192771084338
01-01 04:00,0.012048192771084338
01-01 05:00,0.012048192771084338
01-01 06:00,0.014457831325301203
01-01 07:00,0.021686746987951807
01-01 08:00,0.04578313253012048
01-01 09:00,0.05301204819277109
01-01 10:00,0.05060240963855422
01-01 11:00,0.04578313253012048
01-01 12:00,0.03855421686746988
01-01 13:00,0.03132530120481928
01-01 14:00,0.024096385542168676
01-01 15:00,0.01927710843373494
01-01 16:00,0.01927710843373494
01-01 17:00,0.01927710843373494
01-01 18:00,0.021686746987951807
01-01 19:00,0.01927710843373494
01-01 20:00,0.01927710843373494
01-01 21:00,0.01927710843373494
01-01 22:00,0.01927710843373494
01-01 23:00,0.01927710843373494
02-01 00:00,0.04819277108433735
02-01 01:00,0.04578313253012048
02-01 02:00,0.043373493975903614
02-01 03:00,0.04578313253012048
02-01 04:00,0.05060240963855422
02-01 05:00,0.0746987951807229
02-01 06:00,0.12771084337349398
02-01 07:00,0.12289156626506023
02-01 08:00,0.09156626506024096
02-01 09:00,0.0819277108433735
02-01 10:00,0.13734939759036144
02-01 11:00,0.1036144578313253
02-01 12:00,0.09879518072289156
02-01 13:00,0.0746987951807229
02-01 14:00,0.06746987951807229
02-01 15:00,0.07228915662650602
02-01 16:00,0.1036144578313253
02-01 17:00,0.10602409638554218
02-01 18:00,0.14457831325301204
02-01 19:00,0.14457831325301204
02-01 20:00,0.1469879518072289
02-01 21:00,0.1783132530120482
02-01 22:00,0.1469879518072289
02-01 23:00,0.16626506024096385
03-01 00:00,0.21445783132530122
03-01 01:00,0.19759036144578312
03-01 02:00,0.2
03-01 03:00,0.16626506024096385
03-01 04:00,0.1927710843373494
03-01 05:00,0.2385542168674699
03-01 06:00,0.3180722891566265
03-01 07:00,0.3060240963855422
03-01 08:00,0.25542168674698795
03-01 09:00,0.19518072289156627
03-01 10:00,0.21445783132530122
03-01 11:00,0.19036144578313255
03-01 12:00,0.18072289156626506
03-01 13:00,0.1566265060240964
03-01 14:00,0.163855421686747
03-01 15:00,0.1566265060240964
03-01 16:00,0.19518072289156627
03-01 17:00,0.21686746987951808
03-01 18:00,0.20481927710843373
03-01 19:00,0.25301204819277107
03-01 20:00,0.25542168674698795
03-01 21:00,0.24578313253012046
03-01 22:00,0.21686746987951808
03-01 23:00,0.18072289156626506
04-01 00:00,0.16626506024096385
04-01 01:00,0.15903614457831325
04-01 02:00,0.1686746987951807
04-01 03:00,0.16626506024096385
04-01 04:00,0.17108433734939757
04-01 05:00,0.2072289156626506
04-01 06:00,0.2289156626506024
04-01 07:00,0.25542168674698795
04-01 08:00,0.21204819277108436
04-01 09:00,0.1783132530120482
04-01 10:00,0.1566265060240964
04-01 11:00,0.12530120481927712
04-01 12:00,0.11807228915662651
04-01 13:00,0.11807228915662651
04-01 14:00,0.09156626506024096
04-01 15:00,0.09156626506024096
04-01 16:00,0.1036144578313253
04-01 17:00,0.10120481927710843
04-01 18:00,0.0891566265060241
04-01 19:00,0.09397590361445783
04-01 20:00,0.1036144578313253
04-01 21:00,0.09879518072289156
04-01 22:00,0.057831325301204814
04-01 23:00,0.04578313253012048
05-01 00:00,0.014457831325301203
05-01 01:00,0.012048192771084338
05-01 02:00,0.00963855421686747
05-01 03:00,0.012048192771084338
05-01 04:00,0.012048192771084338
05-01 05:00,0.01927710843373494
05-01 06:00,0.043373493975903614
05-01 07:00,0.05301204819277109
05-01 08:00,0.03855421686746988
05-01 09:00,0.033734939759036145
05-01 10:00,0.028915662650602407
05-01 11:00,0.024096385542168676
05-01 12:00,0.016867469879518072
05-01 13:00,0.016867469879518072
05-01 14:00,0.016867469879518072
05-01 15:00,0.016867469879518072
05-01 16:00,0.016867469879518072
05-01 17:00,0.01927710843373494
05-01 18:00,0.021686746987951807
05-01 19:00,0.026506024096385545
05-01 20:00,0.026506024096385545
05-01 21:00,0.024096385542168676
05-01 22:00,0.03855421686746988
05-01 23:00,0.06265060240963856
06-01 00:00,0.04819277108433735
06-01 01:00,0.04819277108433735
06-01 02:00,0.04096385542168675
06-01 03:00,0.06987951807228915
06-01 04:00,0.0819277108433735
06-01 05:00,0.09879518072289156
06-01 06:00,0.11807228915662651
06-01 07:00,0.12289156626506023
06-01 08:00,0.13493975903614458
06-01 09:00,0.14457831325301204
06-01 10:00,0.1397590361445783
06-01 11:00,0.1036144578313253
06-01 12:00,0.08674698795180723
06-01 13:00,0.0819277108433735
06-01 14:00,0.07710843373493977
06-01 15:00,0.0746987951807229
06-01 16:00,0.0746987951807229
06-01 17:00,0.1108433734939759
06-01 18:00,0.11325301204819277
06-01 19:00,0.11325301204819277
06-01 20:00,0.12048192771084337
06-01 21:00,0.11325301204819277
06-01 22:00,0.08433734939759036
06-01 23:00,0.1108433734939759
07-01 00:00,0.0963855421686747
07-01 01:00,0.13253012048192772
07-01 02:00,0.12771084337349398
07-01 03:00,0.12771084337349398
07-01 04:00,0.13734939759036144
07-01 05:00,0.15180722891566265
07-01 06:00,0.19036144578313255
07-01 07:00,0.1686746987951807
07-01 08:00,0.19036144578313255
07-01 09:00,0.1686746987951807
07-01 10:00,0.14216867469879518
07-01 11:00,0.11325301204819277
07-01 12:00,0.10602409638554218
07-01 13:00,0.0819277108433735
07-01 14:00,0.060240963855421686
07-01 15:00,0.06746987951807229
07-01 16:00,0.06746987951807229
07-01 17:00,0.0746987951807229
07-01 18:00,0.07951807228915662
07-01 19:00,0.08433734939759036
07-01 20:00,0.07951807228915662
07-01 21:00,0.07710843373493977
07-01 22:00,0.04578313253012048
07-01 23:00,0.03855421686746988
08-01 00:00,0.016867469879518072
08-01 01:00,0.014457831325301203
08-01 02:00,0.00963855421686747
08-01 03:00,0.012048192771084338
08-01 04:00,0.012048192771084338
08-01 05:00,0.021686746987951807
08-01 06:00,0.04096385542168675
08-01 07:00,0.05060240963855422
08-01 08:00,0.04096385542168675
08-01 09:00,0.03614457831325301
08-01 10:00,0.028915662650602407
08-01 11:00,0.021686746987951807
08-01 12:00,0.016867469879518072
08-01 13:00,0.016867469879518072
