Zeit (TT-MM hh:mm),Wärme gesamt (kW),Kälte gesamt (kW),Strom gesamt (kW),Zone 1-Raumwärme (kW),Zone 1-Trinkwarmwasser (kW),Zone 1-Klimatisierung (kW),Zone 1-Prozesskälte (kW),Zone 1-Nutzerstrom (kW),Zone 1-Elektromobilität (kW)
01-01 00:00,65.6,0.0,0.0,61.29999923706055,4.300000190734863,0,0,0,0
01-01 01:00,66.7,0.0,0.0,63.099998474121094,3.5999999046325684,0,0,0,0
01-01 02:00,60.5,0.0,0.0,58.599998474121094,1.7999999523162842,0,0,0,0
01-01 03:00,65.9,0.0,0.0,64.0,1.899999976158142,0,0,0,0
01-01 04:00,78.9,0.0,0.0,75.5999984741211,3.299999952316284,0,0,0,0
01-01 05:00,120.3,0.0,0.0,109.69999694824219,10.600000381469727,0,0,0,0
01-01 06:00,196.8,0.0,0.0,166.39999389648438,30.399999618530273,0,0,0,0
01-01 07:00,182.1,0.0,0.0,151.8000030517578,30.299999237060547,0,0,0,0
01-01 08:00,167.9,0.0,0.0,138.0,29.899999618530273,0,0,0,0
01-01 09:00,162.5,0.0,0.0,134.10000610351562,28.399999618530273,0,0,0,0
01-01 10:00,153.3,0.0,0.0,130.8000030517578,22.5,0,0,0,0
01-01 11:00,141.4,0.0,0.0,122.30000305175781,19.100000381469727,0,0,0,0
01-01 12:00,128.3,0.0,0.0,110.9000015258789,17.399999618530273,0,0,0,0
01-01 13:00,130.3,0.0,0.0,114.4000015258789,15.899999618530273,0,0,0,0
01-01 14:00,132.6,0.0,0.0,116.30000305175781,16.299999237060547,0,0,0,0
01-01 15:00,149.7,0.0,0.0,133.60000610351562,16.100000381469727,0,0,0,0
01-01 16:00,149.7,0.0,0.0,135.0,14.699999809265137,0,0,0,0
01-01 17:00,138.8,0.0,0.0,126.5,12.300000190734863,0,0,0,0
01-01 18:00,152.3,0.0,0.0,140.60000610351562,11.699999809265137,0,0,0,0
01-01 19:00,158.5,0.0,0.0,147.89999389648438,10.600000381469727,0,0,0,0
01-01 20:00,160.9,0.0,0.0,151.60000610351562,9.300000190734863,0,0,0,0
01-01 21:00,165.4,0.0,0.0,158.1999969482422,7.199999809265137,0,0,0,0
01-01 22:00,101.6,0.0,0.0,96.4000015258789,5.199999809265137,0,0,0,0
01-01 23:00,96.3,0.0,0.0,91.5999984741211,4.699999809265137,0,0,0,0
02-01 00:00,109.1,0.0,0.0,103.9000015258789,5.199999809265137,0,0,0,0
02-01 01:00,110.7,0.0,0.0,105.9000015258789,4.800000190734863,0,0,0,0
02-01 02:00,105.1,0.0,0.0,102.4000015258789,2.700000047683716,0,0,0,0
02-01 03:00,117.3,0.0,0.0,114.4000015258789,2.9000000953674316,0,0,0,0
02-01 04:00,133.7,0.0,0.0,128.6999969482422,5.0,0,0,0,0
02-01 05:00,187.7,0.0,0.0,174.89999389648438,12.800000190734863,0,0,0,0
02-01 06:00,305.7,0.0,0.0,265.70001220703125,40.0,0,0,0,0
02-01 07:00,277.0,0.0,0.0,237.8000030517578,39.20000076293945,0,0,0,0
02-01 08:00,240.0,0.0,0.0,202.39999389648438,37.599998474121094,0,0,0,0
02-01 09:00,225.0,0.0,0.0,190.5,34.5,0,0,0,0
02-01 10:00,222.8,0.0,0.0,196.8000030517578,25.899999618530273,0,0,0,0
02-01 11:00,205.6,0.0,0.0,182.89999389648438,22.700000762939453,0,0,0,0
02-01 12:00,202.8,0.0,0.0,181.89999389648438,20.899999618530273,0,0,0,0
02-01 13:00,203.6,0.0,0.0,182.39999389648438,21.200000762939453,0,0,0,0
02-01 14:00,185.2,0.0,0.0,166.60000610351562,18.600000381469727,0,0,0,0
02-01 15:00,197.7,0.0,0.0,178.6999969482422,19.0,0,0,0,0
02-01 16:00,208.8,0.0,0.0,190.60000610351562,18.200000762939453,0,0,0,0
02-01 17:00,215.1,0.0,0.0,198.60000610351562,16.5,0,0,0,0
02-01 18:00,242.2,0.0,0.0,226.39999389648438,15.800000190734863,0,0,0,0
02-01 19:00,243.3,0.0,0.0,229.3000030517578,14.0,0,0,0,0
02-01 20:00,242.6,0.0,0.0,230.3000030517578,12.300000190734863,0,0,0,0
02-01 21:00,251.2,0.0,0.0,242.3000030517578,8.899999618530273,0,0,0,0
02-01 22:00,148.8,0.0,0.0,142.5,6.300000190734863,0,0,0,0
02-01 23:00,144.0,0.0,0.0,138.3000030517578,5.699999809265137,0,0,0,0
