Zeit (TT-MM hh:mm),Wärme gesamt (kW),Kälte gesamt (kW),Strom gesamt (kW),Zone 1-Raumwärme (kW),Zone 1-Trinkwarmwasser (kW),Zone 1-Klimatisierung (kW),Zone 1-Prozesskälte (kW),Zone 1-Nutzerstrom (kW),Zone 1-Elektromobilität (kW)
01-01 00:00,141.7,0.0,0.0,141.6999969482422,0.0,0,0,0,0
01-01 01:00,146.8,0.0,0.0,146.8000030517578,0.0,0,0,0,0
01-01 02:00,134.0,0.0,0.0,134.0,0.0,0,0,0,0
01-01 03:00,141.1,0.0,0.0,141.10000610351562,0.0,0,0,0,0
01-01 04:00,139.2,0.0,0.0,139.1999969482422,0.0,0,0,0,0
01-01 05:00,133.6,0.0,0.0,133.60000610351562,0.0,0,0,0,0
01-01 06:00,144.0,0.0,0.0,144.0,0.0,0,0,0,0
01-01 07:00,136.9,0.0,0.0,136.60000610351562,0.30000001192092896,0,0,0,0
01-01 08:00,138.4,0.0,0.0,137.3000030517578,1.100000023841858,0,0,0,0
01-01 09:00,141.1,0.0,0.0,138.0,3.0999999046325684,0,0,0,0
01-01 10:00,141.9,0.0,0.0,136.6999969482422,5.199999809265137,0,0,0,0
01-01 11:00,140.7,0.0,0.0,128.60000610351562,12.100000381469727,0,0,0,0
01-01 12:00,137.3,0.0,0.0,120.19999694824219,17.100000381469727,0,0,0,0
01-01 13:00,150.0,0.0,0.0,128.6999969482422,21.299999237060547,0,0,0,0
01-01 14:00,163.0,0.0,0.0,136.0,27.0,0,0,0,0
01-01 15:00,184.6,0.0,0.0,158.5,26.200000762939453,0,0,0,0
01-01 16:00,178.1,0.0,0.0,159.89999389648438,18.200000762939453,0,0,0,0
01-01 17:00,151.3,0.0,0.0,144.39999389648438,6.900000095367432,0,0,0,0
01-01 18:00,159.8,0.0,0.0,155.6999969482422,4.099999904632568,0,0,0,0
01-01 19:00,158.7,0.0,0.0,156.39999389648438,2.299999952316284,0,0,0,0
01-01 20:00,158.9,0.0,0.0,158.10000610351562,0.800000011920929,0,0,0,0
01-01 21:00,169.8,0.0,0.0,169.8000030517578,0.0,0,0,0,0
01-01 22:00,171.4,0.0,0.0,171.39999389648438,0.0,0,0,0,0
01-01 23:00,176.8,0.0,0.0,176.8000030517578,0.0,0,0,0,0
02-01 00:00,230.5,0.0,0.0,230.5,0.0,0,0,0,0
02-01 01:00,236.3,0.0,0.0,236.3000030517578,0.0,0,0,0,0
02-01 02:00,224.9,0.0,0.0,224.89999389648438,0.0,0,0,0,0
02-01 03:00,243.2,0.0,0.0,243.1999969482422,0.0,0,0,0,0
02-01 04:00,238.0,0.0,0.0,238.0,0.0,0,0,0,0
02-01 05:00,213.1,0.0,0.0,213.10000610351562,0.0,0,0,0,0
02-01 06:00,229.2,0.0,0.0,229.1999969482422,0.0,0,0,0,0
02-01 07:00,213.3,0.0,0.0,213.3000030517578,0.0,0,0,0,0
02-01 08:00,199.1,0.0,0.0,199.0,0.0,0,0,0,0
02-01 09:00,197.3,0.0,0.0,194.0,3.299999952316284,0,0,0,0
02-01 10:00,215.4,0.0,0.0,208.1999969482422,7.199999809265137,0,0,0,0
02-01 11:00,202.2,0.0,0.0,193.3000030517578,8.899999618530273,0,0,0,0
02-01 12:00,210.4,0.0,0.0,199.6999969482422,10.699999809265137,0,0,0,0
02-01 13:00,216.7,0.0,0.0,204.89999389648438,11.800000190734863,0,0,0,0
02-01 14:00,207.1,0.0,0.0,195.60000610351562,11.5,0,0,0,0
02-01 15:00,222.7,0.0,0.0,211.1999969482422,11.5,0,0,0,0
02-01 16:00,233.5,0.0,0.0,224.8000030517578,8.699999809265137,0,0,0,0
02-01 17:00,232.1,0.0,0.0,226.1999969482422,6.0,0,0,0,0
02-01 18:00,253.9,0.0,0.0,249.3000030517578,4.599999904632568,0,0,0,0
02-01 19:00,243.3,0.0,0.0,240.8000030517578,2.5,0,0,0,0
02-01 20:00,239.2,0.0,0.0,238.39999389648438,0.800000011920929,0,0,0,0
02-01 21:00,259.6,0.0,0.0,259.6000061035156,0.0,0,0,0,0
02-01 22:00,254.5,0.0,0.0,254.5,0.0,0,0,0,0
02-01 23:00,271.2,0.0,0.0,271.20001220703125,0.0,0,0,0,0
03-01 00:00,306.6,0.0,0.0,306.6000061035156,0.0,0,0,0,0
03-01 01:00,284.7,0.0,0.0,284.70001220703125,0.0,0,0,0,0
03-01 02:00,293.5,0.0,0.0,293.5,0.0,0,0,0,0
03-01 03:00,267.6,0.0,0.0,267.6000061035156,0.0,0,0,0,0
03-01 04:00,287.3,0.0,0.0,287.29998779296875,0.0,0,0,0,0
03-01 05:00,294.0,0.0,0.0,294.0,0.0,0,0,0,0
03-01 06:00,281.3,0.0,0.0,281.29998779296875,0.0,0,0,0,0
03-01 07:00,272.6,0.0,0.0,272.6000061035156,0.0,0,0,0,0
03-01 08:00,246.0,0.0,0.0,246.0,0.0,0,0,0,0
03-01 09:00,215.9,0.0,0.0,212.89999389648438,3.0,0,0,0,0
03-01 10:00,246.6,0.0,0.0,238.8000030517578,7.800000190734863,0,0,0,0
03-01 11:00,226.7,0.0,0.0,217.6999969482422,9.0,0,0,0,0
03-01 12:00,235.8,0.0,0.0,225.0,10.800000190734863,0,0,0,0
03-01 13:00,239.1,0.0,0.0,227.39999389648438,11.699999809265137,0,0,0,0
03-01 14:00,255.2,0.0,0.0,242.5,12.699999809265137,0,0,0,0
03-01 15:00,251.2,0.0,0.0,239.60000610351562,11.600000381469727,0,0,0,0
03-01 16:00,268.2,0.0,0.0,259.20001220703125,9.0,0,0,0,0
03-01 17:00,285.8,0.0,0.0,279.20001220703125,6.599999904632568,0,0,0,0
03-01 18:00,260.5,0.0,0.0,256.20001220703125,4.300000190734863,0,0,0,0
03-01 19:00,282.4,0.0,0.0,279.79998779296875,2.5999999046325684,0,0,0,0
03-01 20:00,277.8,0.0,0.0,277.0,0.800000011920929,0,0,0,0
03-01 21:00,249.5,0.0,0.0,249.5,0.0,0,0,0,0
03-01 22:00,294.6,0.0,0.0,294.6000061035156,0.0,0,0,0,0
03-01 23:00,271.9,0.0,0.0,271.8999938964844,0.0,0,0,0,0
04-01 00:00,271.6,0.0,0.0,271.6000061035156,0.0,0,0,0,0
04-01 01:00,264.8,0.0,0.0,264.79998779296875,0.0,0,0,0,0
04-01 02:00,286.4,0.0,0.0,286.3999938964844,0.0,0,0,0,0
04-01 03:00,281.0,0.0,0.0,281.0,0.0,0,0,0,0
04-01 04:00,270.3,0.0,0.0,270.29998779296875,0.0,0,0,0,0
04-01 05:00,265.0,0.0,0.0,265.0,0.0,0,0,0,0
04-01 06:00,242.2,0.0,0.0,242.1999969482422,0.0,0,0,0,0
04-01 07:00,266.5,0.0,0.0,266.5,0.0,0,0,0,0
04-01 08:00,236.7,0.0,0.0,236.6999969482422,0.0,0,0,0,0
04-01 09:00,209.1,0.0,0.0,206.10000610351562,3.0,0,0,0,0
04-01 10:00,217.3,0.0,0.0,210.10000610351562,7.199999809265137,0,0,0,0
04-01 11:00,212.6,0.0,0.0,203.39999389648438,9.199999809265137,0,0,0,0
04-01 12:00,221.1,0.0,0.0,210.10000610351562,11.0,0,0,0,0
04-01 13:00,223.4,0.0,0.0,211.89999389648438,11.5,0,0,0,0
04-01 14:00,222.5,0.0,0.0,210.39999389648438,12.100000381469727,0,0,0,0
04-01 15:00,229.8,0.0,0.0,218.1999969482422,11.600000381469727,0,0,0,0
04-01 16:00,246.2,0.0,0.0,236.8000030517578,9.399999618530273,0,0,0,0
04-01 17:00,231.0,0.0,0.0,225.0,6.0,0,0,0,0
04-01 18:00,221.0,0.0,0.0,216.6999969482422,4.300000190734863,0,0,0,0
04-01 19:00,213.7,0.0,0.0,211.3000030517578,2.4000000953674316,0,0,0,0
04-01 20:00,225.5,0.0,0.0,224.6999969482422,0.800000011920929,0,0,0,0
04-01 21:00,215.8,0.0,0.0,215.8000030517578,0.0,0,0,0,0
04-01 22:00,220.5,0.0,0.0,220.5,0.0,0,0,0,0
04-01 23:00,229.2,0.0,0.0,229.1999969482422,0.0,0,0,0,0
05-01 00:00,181.3,0.0,0.0,181.3000030517578,0.0,0,0,0,0
05-01 01:00,178.7,0.0,0.0,178.6999969482422,0.0,0,0,0,0
05-01 02:00,164.7,0.0,0.0,164.6999969482422,0.0,0,0,0,0
05-01 03:00,169.8,0.0,0.0,169.8000030517578,0.0,0,0,0,0
05-01 04:00,159.7,0.0,0.0,159.6999969482422,0.0,0,0,0,0
05-01 05:00,161.2,0.0,0.0,161.1999969482422,0.0,0,0,0,0
05-01 06:00,145.3,0.0,0.0,145.3000030517578,0.0,0,0,0,0
05-01 07:00,158.0,0.0,0.0,158.0,0.0,0,0,0,0
05-01 08:00,132.6,0.0,0.0,132.60000610351562,0.0,0,0,0,0
05-01 09:00,132.4,0.0,0.0,129.3000030517578,3.0999999046325684,0,0,0,0
05-01 10:00,150.9,0.0,0.0,143.0,7.900000095367432,0,0,0,0
05-01 11:00,146.9,0.0,0.0,137.1999969482422,9.699999809265137,0,0,0,0
05-01 12:00,123.4,0.0,0.0,113.5,9.899999618530273,0,0,0,0
05-01 13:00,132.0,0.0,0.0,121.0,10.899999618530273,0,0,0,0
05-01 14:00,145.9,0.0,0.0,133.60000610351562,12.300000190734863,0,0,0,0
05-01 15:00,153.1,0.0,0.0,141.89999389648438,11.199999809265137,0,0,0,0
05-01 16:00,165.7,0.0,0.0,157.0,8.699999809265137,0,0,0,0
05-01 17:00,160.6,0.0,0.0,154.8000030517578,5.800000190734863,0,0,0,0
05-01 18:00,174.1,0.0,0.0,169.5,4.599999904632568,0,0,0,0
05-01 19:00,185.5,0.0,0.0,182.89999389648438,2.5999999046325684,0,0,0,0
05-01 20:00,180.4,0.0,0.0,179.5,0.8999999761581421,0,0,0,0
05-01 21:00,185.0,0.0,0.0,185.0,0.0,0,0,0,0
05-01 22:00,176.5,0.0,0.0,176.5,0.0,0,0,0,0
05-01 23:00,194.6,0.0,0.0,194.60000610351562,0.0,0,0,0,0
06-01 00:00,237.4,0.0,0.0,237.39999389648438,0.0,0,0,0,0
06-01 01:00,241.1,0.0,0.0,241.10000610351562,0.0,0,0,0,0
06-01 02:00,222.4,0.0,0.0,222.39999389648438,0.0,0,0,0,0
06-01 03:00,233.1,0.0,0.0,233.10000610351562,0.0,0,0,0,0
06-01 04:00,251.9,0.0,0.0,251.89999389648438,0.0,0,0,0,0
06-01 05:00,239.8,0.0,0.0,239.8000030517578,0.0,0,0,0,0
06-01 06:00,226.6,0.0,0.0,226.60000610351562,0.0,0,0,0,0
06-01 07:00,221.9,0.0,0.0,221.60000610351562,0.30000001192092896,0,0,0,0
06-01 08:00,215.1,0.0,0.0,214.0,1.100000023841858,0,0,0,0
06-01 09:00,224.9,0.0,0.0,221.6999969482422,3.200000047683716,0,0,0,0
06-01 10:00,219.1,0.0,0.0,213.5,5.599999904632568,0,0,0,0
06-01 11:00,213.1,0.0,0.0,200.0,13.100000381469727,0,0,0,0
06-01 12:00,206.9,0.0,0.0,188.5,18.399999618530273,0,0,0,0
06-01 13:00,219.2,0.0,0.0,196.1999969482422,23.0,0,0,0,0
06-01 14:00,239.5,0.0,0.0,211.6999969482422,27.799999237060547,0,0,0,0
06-01 15:00,244.3,0.0,0.0,217.3000030517578,27.0,0,0,0,0
06-01 16:00,230.4,0.0,0.0,211.3000030517578,19.100000381469727,0,0,0,0
06-01 17:00,245.5,0.0,0.0,237.39999389648438,8.100000381469727,0,0,0,0
06-01 18:00,242.1,0.0,0.0,237.6999969482422,4.400000095367432,0,0,0,0
06-01 19:00,234.2,0.0,0.0,231.8000030517578,2.4000000953674316,0,0,0,0
06-01 20:00,247.0,0.0,0.0,246.10000610351562,0.800000011920929,0,0,0,0
06-01 21:00,239.0,0.0,0.0,239.0,0.0,0,0,0,0
06-01 22:00,229.5,0.0,0.0,229.5,0.0,0,0,0,0
06-01 23:00,265.3,0.0,0.0,265.29998779296875,0.0,0,0,0,0
07-01 00:00,219.8,0.0,0.0,219.8000030517578,0.0,0,0,0,0
07-01 01:00,251.4,0.0,0.0,251.39999389648438,0.0,0,0,0,0
07-01 02:00,241.4,0.0,0.0,241.39999389648438,0.0,0,0,0,0
07-01 03:00,246.4,0.0,0.0,246.39999389648438,0.0,0,0,0,0
07-01 04:00,246.6,0.0,0.0,246.60000610351562,0.0,0,0,0,0
07-01 05:00,232.1,0.0,0.0,232.1999969482422,0.0,0,0,0,0
07-01 06:00,243.1,0.0,0.0,243.10000610351562,0.0,0,0,0,0
07-01 07:00,231.9,0.0,0.0,231.60000610351562,0.30000001192092896,0,0,0,0
07-01 08:00,240.8,0.0,0.0,239.60000610351562,1.2000000476837158,0,0,0,0
07-01 09:00,211.9,0.0,0.0,208.8000030517578,3.0,0,0,0,0
07-01 10:00,203.7,0.0,0.0,198.8000030517578,4.900000095367432,0,0,0,0
