Zeit (TT-MM hh:mm),Wärme gesamt (kW),Kälte gesamt (kW),Strom gesamt (kW),Zone 1-Raumwärme (kW),Zone 1-Trinkwarmwasser (kW),Zone 1-Klimatisierung (kW),Zone 1-Prozesskälte (kW),Zone 1-Nutzerstrom (kW),Zone 1-Elektromobilität (kW)
01-01 00:00,71.3,0.0,0.0,71.30000305175781,0.0,0,0,0,0
01-01 01:00,75.0,0.0,0.0,75.0,0.0,0,0,0,0
01-01 02:00,68.5,0.0,0.0,68.5,0.0,0,0,0,0
01-01 03:00,72.1,0.0,0.0,72.0999984741211,0.0,0,0,0,0
01-01 04:00,78.3,0.0,0.0,78.30000305175781,0.0,0,0,0,0
01-01 05:00,78.4,0.0,0.0,78.4000015258789,0.0,0,0,0,0
01-01 06:00,104.0,0.0,0.0,104.0,0.0,0,0,0,0
01-01 07:00,130.3,0.0,0.0,130.3000030517578,0.0,0,0,0,0
01-01 08:00,138.9,0.0,0.0,138.8000030517578,0.0,0,0,0,0
01-01 09:00,133.2,0.0,0.0,133.0,0.20000000298023224,0,0,0,0
01-01 10:00,129.8,0.0,0.0,129.3000030517578,0.5,0,0,0,0
01-01 11:00,123.8,0.0,0.0,123.0999984741211,0.699999988079071,0,0,0,0
01-01 12:00,111.4,0.0,0.0,110.0,1.399999976158142,0,0,0,0
01-01 13:00,117.9,0.0,0.0,116.30000305175781,1.600000023841858,0,0,0,0
01-01 14:00,120.6,0.0,0.0,118.9000015258789,1.7000000476837158,0,0,0,0
01-01 15:00,139.9,0.0,0.0,138.1999969482422,1.7000000476837158,0,0,0,0
01-01 16:00,140.9,0.0,0.0,139.3000030517578,1.600000023841858,0,0,0,0
01-01 17:00,124.0,0.0,0.0,122.69999694824219,1.2999999523162842,0,0,0,0
01-01 18:00,131.2,0.0,0.0,130.8000030517578,0.4000000059604645,0,0,0,0
01-01 19:00,129.5,0.0,0.0,129.3000030517578,0.20000000298023224,0,0,0,0
01-01 20:00,121.6,0.0,0.0,121.5999984741211,0.0,0,0,0,0
01-01 21:00,115.9,0.0,0.0,115.9000015258789,0.0,0,0,0,0
01-01 22:00,98.0,0.0,0.0,98.0,0.0,0,0,0,0
01-01 23:00,106.5,0.0,0.0,106.5,0.0,0,0,0,0
02-01 00:00,126.5,0.0,0.0,126.5,0.0,0,0,0,0
02-01 01:00,136.6,0.0,0.0,136.60000610351562,0.0,0,0,0,0
