Zeit (TT-MM hh:mm),Wärme gesamt (kW),Kälte gesamt (kW),Strom gesamt (kW),Zone 1-Raumwärme (kW),Zone 1-Trinkwarmwasser (kW),Zone 1-Klimatisierung (kW),Zone 1-Prozesskälte (kW),Zone 1-Nutzerstrom (kW),Zone 1-Elektromobilität (kW)
01-01 00:00,40.3,0.0,0.0,35.0,5.300000190734863,0,0,0,0
01-01 01:00,40.9,0.0,0.0,38.20000076293945,2.700000047683716,0,0,0,0
01-01 02:00,37.5,0.0,0.0,36.29999923706055,1.2000000476837158,0,0,0,0
01-01 03:00,36.8,0.0,0.0,36.79999923706055,0.0,0,0,0,0
01-01 04:00,44.2,0.0,0.0,41.70000076293945,2.5,0,0,0,0
01-01 05:00,56.8,0.0,0.0,46.5,10.300000190734863,0,0,0,0
01-01 06:00,98.0,0.0,0.0,67.5,30.5,0,0,0,0
01-01 07:00,150.5,0.0,0.0,99.0999984741211,51.400001525878906,0,0,0,0
01-01 08:00,172.5,0.0,0.0,108.30000305175781,64.19999694824219,0,0,0,0
01-01 09:00,177.4,0.0,0.0,100.30000305175781,77.0999984741211,0,0,0,0
01-01 10:00,179.2,0.0,0.0,94.4000015258789,84.80000305175781,0,0,0,0
01-01 11:00,173.3,0.0,0.0,88.5,84.80000305175781,0,0,0,0
01-01 12:00,167.7,0.0,0.0,81.0999984741211,86.5999984741211,0,0,0,0
01-01 13:00,169.7,0.0,0.0,82.30000305175781,87.4000015258789,0,0,0,0
01-01 14:00,186.9,0.0,0.0,87.69999694824219,99.19999694824219,0,0,0,0
01-01 15:00,199.4,0.0,0.0,96.9000015258789,102.5,0,0,0,0
01-01 16:00,195.9,0.0,0.0,96.19999694824219,99.69999694824219,0,0,0,0
01-01 17:00,183.6,0.0,0.0,86.4000015258789,97.30000305175781,0,0,0,0
01-01 18:00,190.3,0.0,0.0,90.69999694824219,99.5999984741211,0,0,0,0
01-01 19:00,185.1,0.0,0.0,88.0,97.0999984741211,0,0,0,0
01-01 20:00,163.6,0.0,0.0,79.30000305175781,84.30000305175781,0,0,0,0
01-01 21:00,128.5,0.0,0.0,70.4000015258789,58.099998474121094,0,0,0,0
01-01 22:00,73.8,0.0,0.0,45.400001525878906,28.399999618530273,0,0,0,0
01-01 23:00,64.2,0.0,0.0,49.599998474121094,14.600000381469727,0,0,0,0
02-01 00:00,62.4,0.0,0.0,59.70000076293945,2.700000047683716,0,0,0,0
02-01 01:00,65.7,0.0,0.0,64.30000305175781,1.399999976158142,0,0,0,0
02-01 02:00,63.4,0.0,0.0,63.400001525878906,0.0,0,0,0,0
02-01 03:00,66.2,0.0,0.0,66.19999694824219,0.0,0,0,0,0
02-01 04:00,73.7,0.0,0.0,70.9000015258789,2.799999952316284,0,0,0,0
02-01 05:00,88.7,0.0,0.0,75.9000015258789,12.800000190734863,0,0,0,0
02-01 06:00,146.6,0.0,0.0,107.4000015258789,39.20000076293945,0,0,0,0
02-01 07:00,219.3,0.0,0.0,155.3000030517578,64.0,0,0,0,0
02-01 08:00,238.4,0.0,0.0,160.3000030517578,78.0999984741211,0,0,0,0
02-01 09:00,239.1,0.0,0.0,143.5,95.5999984741211,0,0,0,0
02-01 10:00,228.8,0.0,0.0,140.89999389648438,87.9000015258789,0,0,0,0
02-01 11:00,209.0,0.0,0.0,131.8000030517578,77.19999694824219,0,0,0,0
02-01 12:00,208.9,0.0,0.0,131.3000030517578,77.5999984741211,0,0,0,0
