Zeit (TT-MM hh:mm),Wärme gesamt (kW),Kälte gesamt (kW),Strom gesamt (kW),Zone 1-Raumwärme (kW),Zone 1-Trinkwarmwasser (kW),Zone 1-Klimatisierung (kW),Zone 1-Prozesskälte (kW),Zone 1-Nutzerstrom (kW),Zone 1-Elektromobilität (kW)
01-01 00:00,86.6,0.0,0.0,86.5999984741211,0.0,0,0,0,0
01-01 01:00,89.2,0.0,0.0,89.19999694824219,0.0,0,0,0,0
01-01 02:00,81.4,0.0,0.0,81.4000015258789,0.0,0,0,0,0
01-01 03:00,85.8,0.0,0.0,85.80000305175781,0.0,0,0,0,0
01-01 04:00,90.6,0.0,0.0,90.5999984741211,0.0,0,0,0,0
01-01 05:00,89.2,0.0,0.0,89.19999694824219,0.0,0,0,0,0
01-01 06:00,100.0,0.0,0.0,100.0,0.0,0,0,0,0
01-01 07:00,98.8,0.0,0.0,98.80000305175781,0.0,0,0,0,0
01-01 08:00,108.3,0.0,0.0,108.30000305175781,0.0,0,0,0,0
01-01 09:00,105.9,0.0,0.0,105.9000015258789,0.0,0,0,0,0
01-01 10:00,106.4,0.0,0.0,105.0,1.399999976158142,0,0,0,0
01-01 11:00,106.7,0.0,0.0,100.0,6.699999809265137,0,0,0,0
01-01 12:00,100.3,0.0,0.0,91.0999984741211,9.199999809265137,0,0,0,0
01-01 13:00,103.1,0.0,0.0,95.30000305175781,7.800000190734863,0,0,0,0
01-01 14:00,97.9,0.0,0.0,96.5,1.399999976158142,0,0,0,0
01-01 15:00,114.0,0.0,0.0,112.5999984741211,1.399999976158142,0,0,0,0
01-01 16:00,112.6,0.0,0.0,111.30000305175781,1.2999999523162842,0,0,0,0
01-01 17:00,97.9,0.0,0.0,95.4000015258789,2.5,0,0,0,0
01-01 18:00,104.8,0.0,0.0,102.30000305175781,2.5,0,0,0,0
01-01 19:00,103.5,0.0,0.0,102.30000305175781,1.2000000476837158,0,0,0,0
01-01 20:00,103.4,0.0,0.0,103.4000015258789,0.0,0,0,0,0
01-01 21:00,111.0,0.0,0.0,111.0,0.0,0,0,0,0
01-01 22:00,111.0,0.0,0.0,111.0,0.0,0,0,0,0
01-01 23:00,118.7,0.0,0.0,118.69999694824219,0.0,0,0,0,0
02-01 00:00,144.3,0.0,0.0,144.3000030517578,0.0,0,0,0,0
02-01 01:00,147.2,0.0,0.0,147.1999969482422,0.0,0,0,0,0
02-01 02:00,142.7,0.0,0.0,142.6999969482422,0.0,0,0,0,0
02-01 03:00,166.0,0.0,0.0,166.0,0.0,0,0,0,0
02-01 04:00,198.1,0.0,0.0,198.10000610351562,0.0,0,0,0,0
02-01 05:00,245.4,0.0,0.0,245.39999389648438,0.0,0,0,0,0
02-01 06:00,303.0,0.0,0.0,303.0,0.0,0,0,0,0
02-01 07:00,335.3,0.0,0.0,335.29998779296875,0.0,0,0,0,0
02-01 08:00,366.7,0.0,0.0,366.70001220703125,0.0,0,0,0,0
02-01 09:00,347.2,0.0,0.0,344.5,2.700000047683716,0,0,0,0
02-01 10:00,328.5,0.0,0.0,316.79998779296875,11.699999809265137,0,0,0,0
02-01 11:00,369.8,0.0,0.0,287.0,82.80000305175781,0,0,0,0
02-01 12:00,409.7,0.0,0.0,279.70001220703125,130.0,0,0,0,0
02-01 13:00,384.0,0.0,0.0,271.8999938964844,112.0999984741211,0,0,0,0
02-01 14:00,268.3,0.0,0.0,242.8000030517578,25.5,0,0,0,0
02-01 15:00,255.2,0.0,0.0,231.3000030517578,23.899999618530273,0,0,0,0
02-01 16:00,230.3,0.0,0.0,203.8000030517578,26.5,0,0,0,0
02-01 17:00,210.3,0.0,0.0,174.8000030517578,35.5,0,0,0,0
02-01 18:00,209.6,0.0,0.0,177.8000030517578,31.799999237060547,0,0,0,0
02-01 19:00,182.8,0.0,0.0,170.89999389648438,11.899999618530273,0,0,0,0
02-01 20:00,167.7,0.0,0.0,163.8000030517578,3.9000000953674316,0,0,0,0
02-01 21:00,180.4,0.0,0.0,180.39999389648438,0.0,0,0,0,0
02-01 22:00,175.1,0.0,0.0,175.1999969482422,0.0,0,0,0,0
02-01 23:00,183.0,0.0,0.0,183.0,0.0,0,0,0,0
03-01 00:00,200.0,0.0,0.0,200.0,0.0,0,0,0,0
03-01 01:00,184.8,0.0,0.0,184.8000030517578,0.0,0,0,0,0
03-01 02:00,193.7,0.0,0.0,193.6999969482422,0.0,0,0,0,0
03-01 03:00,186.6,0.0,0.0,186.60000610351562,0.0,0,0,0,0
03-01 04:00,240.6,0.0,0.0,240.60000610351562,0.0,0,0,0,0
03-01 05:00,336.1,0.0,0.0,336.1000061035156,0.0,0,0,0,0
03-01 06:00,367.9,0.0,0.0,367.8999938964844,0.0,0,0,0,0
03-01 07:00,422.1,0.0,0.0,422.1000061035156,0.0,0,0,0,0
03-01 08:00,435.3,0.0,0.0,435.29998779296875,0.0,0,0,0,0
03-01 09:00,372.0,0.0,0.0,369.6000061035156,2.4000000953674316,0,0,0,0
03-01 10:00,388.4,0.0,0.0,375.8999938964844,12.5,0,0,0,0
03-01 11:00,412.1,0.0,0.0,328.6000061035156,83.5999984741211,0,0,0,0
03-01 12:00,451.1,0.0,0.0,319.70001220703125,131.39999389648438,0,0,0,0
03-01 13:00,416.3,0.0,0.0,305.29998779296875,111.0,0,0,0,0
03-01 14:00,332.1,0.0,0.0,304.0,28.200000762939453,0,0,0,0
03-01 15:00,288.0,0.0,0.0,263.8999938964844,24.100000381469727,0,0,0,0
03-01 16:00,262.3,0.0,0.0,235.0,27.299999237060547,0,0,0,0
03-01 17:00,253.4,0.0,0.0,214.3000030517578,39.099998474121094,0,0,0,0
03-01 18:00,209.0,0.0,0.0,178.8000030517578,30.200000762939453,0,0,0,0
03-01 19:00,208.6,0.0,0.0,196.1999969482422,12.399999618530273,0,0,0,0
03-01 20:00,191.9,0.0,0.0,187.8000030517578,4.099999904632568,0,0,0,0
03-01 21:00,171.0,0.0,0.0,171.0,0.0,0,0,0,0
03-01 22:00,199.8,0.0,0.0,199.8000030517578,0.0,0,0,0,0
03-01 23:00,178.3,0.0,0.0,178.3000030517578,0.0,0,0,0,0
04-01 00:00,178.8,0.0,0.0,178.8000030517578,0.0,0,0,0,0
04-01 01:00,173.5,0.0,0.0,173.5,0.0,0,0,0,0
04-01 02:00,190.7,0.0,0.0,190.6999969482422,0.0,0,0,0,0
04-01 03:00,199.1,0.0,0.0,199.10000610351562,0.0,0,0,0,0
04-01 04:00,227.5,0.0,0.0,227.5,0.0,0,0,0,0
04-01 05:00,297.8,0.0,0.0,297.79998779296875,0.0,0,0,0,0
04-01 06:00,311.7,0.0,0.0,311.70001220703125,0.0,0,0,0,0
04-01 07:00,403.5,0.0,0.0,403.6000061035156,0.0,0,0,0,0
04-01 08:00,407.6,0.0,0.0,407.6000061035156,0.0,0,0,0,0
04-01 09:00,344.7,0.0,0.0,342.29998779296875,2.4000000953674316,0,0,0,0
04-01 10:00,334.5,0.0,0.0,322.8999938964844,11.600000381469727,0,0,0,0
04-01 11:00,390.3,0.0,0.0,304.8999938964844,85.4000015258789,0,0,0,0
04-01 12:00,430.7,0.0,0.0,296.70001220703125,134.0,0,0,0,0
04-01 13:00,388.3,0.0,0.0,279.5,108.80000305175781,0,0,0,0
04-01 14:00,289.6,0.0,0.0,262.79998779296875,26.799999237060547,0,0,0,0
04-01 15:00,264.0,0.0,0.0,239.8000030517578,24.100000381469727,0,0,0,0
04-01 16:00,243.0,0.0,0.0,214.60000610351562,28.399999618530273,0,0,0,0
04-01 17:00,207.8,0.0,0.0,172.0,35.79999923706055,0,0,0,0
04-01 18:00,178.5,0.0,0.0,148.3000030517578,30.200000762939453,0,0,0,0
04-01 19:00,155.3,0.0,0.0,143.8000030517578,11.5,0,0,0,0
04-01 20:00,151.2,0.0,0.0,147.10000610351562,4.099999904632568,0,0,0,0
04-01 21:00,141.2,0.0,0.0,141.1999969482422,0.0,0,0,0,0
04-01 22:00,142.7,0.0,0.0,142.6999969482422,0.0,0,0,0,0
04-01 23:00,139.8,0.0,0.0,139.8000030517578,0.0,0,0,0,0
05-01 00:00,117.6,0.0,0.0,117.5999984741211,0.0,0,0,0,0
05-01 01:00,115.3,0.0,0.0,115.30000305175781,0.0,0,0,0,0
05-01 02:00,108.1,0.0,0.0,108.0999984741211,0.0,0,0,0,0
05-01 03:00,117.0,0.0,0.0,117.0,0.0,0,0,0,0
05-01 04:00,133.3,0.0,0.0,133.3000030517578,0.0,0,0,0,0
05-01 05:00,184.4,0.0,0.0,184.39999389648438,0.0,0,0,0,0
05-01 06:00,193.7,0.0,0.0,193.6999969482422,0.0,0,0,0,0
05-01 07:00,251.2,0.0,0.0,251.1999969482422,0.0,0,0,0,0
05-01 08:00,242.3,0.0,0.0,242.3000030517578,0.0,0,0,0,0
05-01 09:00,230.3,0.0,0.0,227.8000030517578,2.5,0,0,0,0
05-01 10:00,240.9,0.0,0.0,228.10000610351562,12.800000190734863,0,0,0,0
05-01 11:00,299.5,0.0,0.0,209.6999969482422,89.80000305175781,0,0,0,0
05-01 12:00,288.0,0.0,0.0,167.3000030517578,120.5999984741211,0,0,0,0
05-01 13:00,268.9,0.0,0.0,165.60000610351562,103.30000305175781,0,0,0,0
05-01 14:00,197.2,0.0,0.0,170.10000610351562,27.100000381469727,0,0,0,0
05-01 15:00,179.5,0.0,0.0,156.10000610351562,23.399999618530273,0,0,0,0
05-01 16:00,168.8,0.0,0.0,142.3000030517578,26.5,0,0,0,0
05-01 17:00,154.2,0.0,0.0,119.4000015258789,34.79999923706055,0,0,0,0
05-01 18:00,151.4,0.0,0.0,119.30000305175781,32.099998474121094,0,0,0,0
05-01 19:00,142.9,0.0,0.0,130.10000610351562,12.800000190734863,0,0,0,0
05-01 20:00,127.8,0.0,0.0,123.5999984741211,4.199999809265137,0,0,0,0
05-01 21:00,129.4,0.0,0.0,129.39999389648438,0.0,0,0,0,0
05-01 22:00,124.1,0.0,0.0,124.0999984741211,0.0,0,0,0,0
05-01 23:00,134.8,0.0,0.0,134.8000030517578,0.0,0,0,0,0
06-01 00:00,147.5,0.0,0.0,147.5,0.0,0,0,0,0
06-01 01:00,148.9,0.0,0.0,148.89999389648438,0.0,0,0,0,0
06-01 02:00,137.4,0.0,0.0,137.39999389648438,0.0,0,0,0,0
06-01 03:00,149.2,0.0,0.0,149.1999969482422,0.0,0,0,0,0
06-01 04:00,170.8,0.0,0.0,170.8000030517578,0.0,0,0,0,0
06-01 05:00,181.8,0.0,0.0,181.8000030517578,0.0,0,0,0,0
06-01 06:00,180.3,0.0,0.0,180.3000030517578,0.0,0,0,0,0
06-01 07:00,188.7,0.0,0.0,188.6999969482422,0.0,0,0,0,0
06-01 08:00,205.4,0.0,0.0,205.39999389648438,0.0,0,0,0,0
06-01 09:00,200.2,0.0,0.0,200.1999969482422,0.0,0,0,0,0
06-01 10:00,186.2,0.0,0.0,184.8000030517578,1.399999976158142,0,0,0,0
06-01 11:00,182.8,0.0,0.0,172.0,10.800000190734863,0,0,0,0
06-01 12:00,175.2,0.0,0.0,160.0,15.100000381469727,0,0,0,0
06-01 13:00,173.6,0.0,0.0,160.6999969482422,12.899999618530273,0,0,0,0
06-01 14:00,168.9,0.0,0.0,166.1999969482422,2.700000047683716,0,0,0,0
06-01 15:00,164.4,0.0,0.0,161.6999969482422,2.700000047683716,0,0,0,0
06-01 16:00,145.3,0.0,0.0,142.8000030517578,2.5,0,0,0,0
06-01 17:00,161.1,0.0,0.0,157.0,4.099999904632568,0,0,0,0
06-01 18:00,150.9,0.0,0.0,146.89999389648438,4.0,0,0,0,0
06-01 19:00,143.8,0.0,0.0,142.5,1.2999999523162842,0,0,0,0
06-01 20:00,154.3,0.0,0.0,154.3000030517578,0.0,0,0,0,0
06-01 21:00,149.8,0.0,0.0,149.8000030517578,0.0,0,0,0,0
06-01 22:00,142.3,0.0,0.0,142.3000030517578,0.0,0,0,0,0
06-01 23:00,170.3,0.0,0.0,170.3000030517578,0.0,0,0,0,0
07-01 00:00,143.8,0.0,0.0,143.8000030517578,0.0,0,0,0,0
07-01 01:00,166.0,0.0,0.0,166.0,0.0,0,0,0,0
07-01 02:00,159.4,0.0,0.0,159.39999389648438,0.0,0,0,0,0
07-01 03:00,162.7,0.0,0.0,162.6999969482422,0.0,0,0,0,0
07-01 04:00,168.6,0.0,0.0,168.60000610351562,0.0,0,0,0,0
07-01 05:00,165.2,0.0,0.0,165.1999969482422,0.0,0,0,0,0
07-01 06:00,175.6,0.0,0.0,175.60000610351562,0.0,0,0,0,0
