Zeit (TT-MM hh:mm),Wärme gesamt (kW),Kälte gesamt (kW),Strom gesamt (kW),Zone 1-Raumwärme (kW),Zone 1-Trinkwarmwasser (kW),Zone 1-Klimatisierung (kW),Zone 1-Prozesskälte (kW),Zone 1-Nutzerstrom (kW),Zone 1-Elektromobilität (kW)
01-01 00:00,85.3,0.0,0.0,85.4000015258789,0.0,0,0,0,0
01-01 01:00,91.6,0.0,0.0,91.5999984741211,0.0,0,0,0,0
01-01 02:00,83.6,0.0,0.0,83.5999984741211,0.0,0,0,0,0
01-01 03:00,88.1,0.0,0.0,88.0999984741211,0.0,0,0,0,0
01-01 04:00,97.3,0.0,0.0,97.30000305175781,0.0,0,0,0,0
01-01 05:00,88.1,0.0,0.0,88.0,0.0,0,0,0,0
01-01 06:00,105.4,0.0,0.0,105.30000305175781,0.10000000149011612,0,0,0,0
01-01 07:00,125.1,0.0,0.0,125.0,0.10000000149011612,0,0,0,0
01-01 08:00,137.6,0.0,0.0,137.39999389648438,0.20000000298023224,0,0,0,0
01-01 09:00,134.4,0.0,0.0,134.0,0.4000000059604645,0,0,0,0
01-01 10:00,126.2,0.0,0.0,125.80000305175781,0.4000000059604645,0,0,0,0
01-01 11:00,114.8,0.0,0.0,114.4000015258789,0.4000000059604645,0,0,0,0
01-01 12:00,97.4,0.0,0.0,97.0,0.4000000059604645,0,0,0,0
01-01 13:00,104.3,0.0,0.0,103.9000015258789,0.4000000059604645,0,0,0,0
01-01 14:00,97.4,0.0,0.0,97.0999984741211,0.30000001192092896,0,0,0,0
01-01 15:00,121.4,0.0,0.0,121.30000305175781,0.10000000149011612,0,0,0,0
01-01 16:00,122.3,0.0,0.0,122.30000305175781,0.0,0,0,0,0
01-01 17:00,103.1,0.0,0.0,103.0999984741211,0.0,0,0,0,0
01-01 18:00,112.8,0.0,0.0,112.80000305175781,0.0,0,0,0,0
01-01 19:00,112.8,0.0,0.0,112.80000305175781,0.0,0,0,0,0
01-01 20:00,114.0,0.0,0.0,114.0,0.0,0,0,0,0
01-01 21:00,122.4,0.0,0.0,122.4000015258789,0.0,0,0,0,0
01-01 22:00,122.4,0.0,0.0,122.4000015258789,0.0,0,0,0,0
01-01 23:00,136.3,0.0,0.0,136.3000030517578,0.0,0,0,0,0
02-01 00:00,179.0,0.0,0.0,179.0,0.0,0,0,0,0
02-01 01:00,189.3,0.0,0.0,189.3000030517578,0.0,0,0,0,0
02-01 02:00,180.1,0.0,0.0,180.10000610351562,0.0,0,0,0,0
02-01 03:00,198.3,0.0,0.0,198.3000030517578,0.0,0,0,0,0
02-01 04:00,212.3,0.0,0.0,212.1999969482422,0.10000000149011612,0,0,0,0
02-01 05:00,246.5,0.0,0.0,245.89999389648438,0.6000000238418579,0,0,0,0
02-01 06:00,326.5,0.0,0.0,324.20001220703125,2.299999952316284,0,0,0,0
02-01 07:00,415.5,0.0,0.0,410.79998779296875,4.699999809265137,0,0,0,0
02-01 08:00,443.1,0.0,0.0,435.20001220703125,7.900000095367432,0,0,0,0
02-01 09:00,413.0,0.0,0.0,402.0,11.0,0,0,0,0
02-01 10:00,396.8,0.0,0.0,384.8999938964844,11.899999618530273,0,0,0,0
02-01 11:00,348.8,0.0,0.0,336.70001220703125,12.0,0,0,0,0
02-01 12:00,345.9,0.0,0.0,334.20001220703125,11.699999809265137,0,0,0,0
02-01 13:00,329.9,0.0,0.0,318.29998779296875,11.600000381469727,0,0,0,0
02-01 14:00,288.8,0.0,0.0,280.79998779296875,8.0,0,0,0,0
02-01 15:00,288.1,0.0,0.0,282.8999938964844,5.199999809265137,0,0,0,0
02-01 16:00,267.7,0.0,0.0,266.20001220703125,1.5,0,0,0,0
02-01 17:00,225.4,0.0,0.0,224.8000030517578,0.6000000238418579,0,0,0,0
02-01 18:00,225.7,0.0,0.0,225.6999969482422,0.0,0,0,0,0
02-01 19:00,210.4,0.0,0.0,210.39999389648438,0.0,0,0,0,0
02-01 20:00,208.3,0.0,0.0,208.3000030517578,0.0,0,0,0,0
02-01 21:00,228.7,0.0,0.0,228.6999969482422,0.0,0,0,0,0
02-01 22:00,222.0,0.0,0.0,222.0,0.0,0,0,0,0
02-01 23:00,235.0,0.0,0.0,235.0,0.0,0,0,0,0
03-01 00:00,266.9,0.0,0.0,266.8999938964844,0.0,0,0,0,0
03-01 01:00,254.3,0.0,0.0,254.3000030517578,0.0,0,0,0,0
03-01 02:00,262.1,0.0,0.0,262.20001220703125,0.0,0,0,0,0
03-01 03:00,238.2,0.0,0.0,238.1999969482422,0.0,0,0,0,0
03-01 04:00,277.5,0.0,0.0,277.3999938964844,0.10000000149011612,0,0,0,0
03-01 05:00,357.5,0.0,0.0,356.79998779296875,0.699999988079071,0,0,0,0
03-01 06:00,417.6,0.0,0.0,415.29998779296875,2.299999952316284,0,0,0,0
03-01 07:00,547.4,0.0,0.0,542.4000244140625,5.0,0,0,0,0
03-01 08:00,553.9,0.0,0.0,546.0999755859375,7.800000190734863,0,0,0,0
03-01 09:00,464.0,0.0,0.0,454.1000061035156,9.899999618530273,0,0,0,0
03-01 10:00,482.0,0.0,0.0,469.20001220703125,12.800000190734863,0,0,0,0
03-01 11:00,410.8,0.0,0.0,398.6000061035156,12.199999809265137,0,0,0,0
03-01 12:00,407.0,0.0,0.0,395.20001220703125,11.800000190734863,0,0,0,0
03-01 13:00,381.8,0.0,0.0,370.29998779296875,11.5,0,0,0,0
03-01 14:00,372.8,0.0,0.0,364.0,8.800000190734863,0,0,0,0
03-01 15:00,339.9,0.0,0.0,334.70001220703125,5.199999809265137,0,0,0,0
03-01 16:00,319.3,0.0,0.0,317.79998779296875,1.600000023841858,0,0,0,0
03-01 17:00,285.6,0.0,0.0,284.8999938964844,0.699999988079071,0,0,0,0
03-01 18:00,231.1,0.0,0.0,231.1999969482422,0.0,0,0,0,0
03-01 19:00,247.9,0.0,0.0,247.89999389648438,0.0,0,0,0,0
03-01 20:00,245.5,0.0,0.0,245.5,0.0,0,0,0,0
03-01 21:00,222.0,0.0,0.0,222.0,0.0,0,0,0,0
03-01 22:00,259.4,0.0,0.0,259.3999938964844,0.0,0,0,0,0
03-01 23:00,231.8,0.0,0.0,231.8000030517578,0.0,0,0,0,0
04-01 00:00,234.2,0.0,0.0,234.1999969482422,0.0,0,0,0,0
04-01 01:00,234.1,0.0,0.0,234.10000610351562,0.0,0,0,0,0
04-01 02:00,253.2,0.0,0.0,253.1999969482422,0.0,0,0,0,0
04-01 03:00,252.0,0.0,0.0,252.0,0.0,0,0,0,0
04-01 04:00,261.5,0.0,0.0,261.3999938964844,0.10000000149011612,0,0,0,0
04-01 05:00,319.3,0.0,0.0,318.70001220703125,0.6000000238418579,0,0,0,0
04-01 06:00,349.9,0.0,0.0,347.79998779296875,2.0999999046325684,0,0,0,0
04-01 07:00,513.6,0.0,0.0,508.6000061035156,5.099999904632568,0,0,0,0
04-01 08:00,509.3,0.0,0.0,501.3999938964844,7.900000095367432,0,0,0,0
04-01 09:00,424.9,0.0,0.0,415.20001220703125,9.699999809265137,0,0,0,0
04-01 10:00,407.3,0.0,0.0,395.5,11.800000190734863,0,0,0,0
04-01 11:00,372.9,0.0,0.0,360.5,12.399999618530273,0,0,0,0
04-01 12:00,369.5,0.0,0.0,357.3999938964844,12.0,0,0,0,0
04-01 13:00,344.5,0.0,0.0,333.20001220703125,11.300000190734863,0,0,0,0
04-01 14:00,314.8,0.0,0.0,306.3999938964844,8.399999618530273,0,0,0,0
04-01 15:00,301.1,0.0,0.0,295.8999938964844,5.199999809265137,0,0,0,0
04-01 16:00,282.0,0.0,0.0,280.3999938964844,1.600000023841858,0,0,0,0
04-01 17:00,221.1,0.0,0.0,220.5,0.6000000238418579,0,0,0,0
04-01 18:00,181.9,0.0,0.0,181.89999389648438,0.0,0,0,0,0
04-01 19:00,169.7,0.0,0.0,169.6999969482422,0.0,0,0,0,0
04-01 20:00,180.4,0.0,0.0,180.39999389648438,0.0,0,0,0,0
04-01 21:00,169.9,0.0,0.0,169.89999389648438,0.0,0,0,0,0
04-01 22:00,171.6,0.0,0.0,171.60000610351562,0.0,0,0,0,0
04-01 23:00,164.8,0.0,0.0,164.8000030517578,0.0,0,0,0,0
05-01 00:00,132.7,0.0,0.0,132.6999969482422,0.0,0,0,0,0
05-01 01:00,134.3,0.0,0.0,134.3000030517578,0.0,0,0,0,0
05-01 02:00,123.8,0.0,0.0,123.80000305175781,0.0,0,0,0,0
05-01 03:00,123.3,0.0,0.0,123.4000015258789,0.0,0,0,0,0
05-01 04:00,126.5,0.0,0.0,126.4000015258789,0.10000000149011612,0,0,0,0
05-01 05:00,164.0,0.0,0.0,163.39999389648438,0.6000000238418579,0,0,0,0
05-01 06:00,179.6,0.0,0.0,177.5,2.0999999046325684,0,0,0,0
05-01 07:00,270.4,0.0,0.0,265.29998779296875,5.099999904632568,0,0,0,0
05-01 08:00,257.3,0.0,0.0,249.89999389648438,7.400000095367432,0,0,0,0
05-01 09:00,241.2,0.0,0.0,230.89999389648438,10.300000190734863,0,0,0,0
05-01 10:00,247.6,0.0,0.0,234.60000610351562,13.0,0,0,0,0
05-01 11:00,222.4,0.0,0.0,209.3000030517578,13.100000381469727,0,0,0,0
05-01 12:00,176.8,0.0,0.0,165.89999389648438,10.800000190734863,0,0,0,0
05-01 13:00,172.6,0.0,0.0,161.89999389648438,10.699999809265137,0,0,0,0
05-01 14:00,172.3,0.0,0.0,163.8000030517578,8.5,0,0,0,0
05-01 15:00,168.9,0.0,0.0,163.8000030517578,5.0,0,0,0,0
05-01 16:00,163.2,0.0,0.0,161.6999969482422,1.5,0,0,0,0
05-01 17:00,134.2,0.0,0.0,133.60000610351562,0.6000000238418579,0,0,0,0
05-01 18:00,130.0,0.0,0.0,130.0,0.0,0,0,0,0
05-01 19:00,141.7,0.0,0.0,141.6999969482422,0.0,0,0,0,0
05-01 20:00,139.0,0.0,0.0,139.0,0.0,0,0,0,0
05-01 21:00,147.3,0.0,0.0,147.3000030517578,0.0,0,0,0,0
05-01 22:00,144.6,0.0,0.0,144.60000610351562,0.0,0,0,0,0
05-01 23:00,160.9,0.0,0.0,160.89999389648438,0.0,0,0,0,0
06-01 00:00,183.2,0.0,0.0,183.1999969482422,0.0,0,0,0,0
06-01 01:00,192.1,0.0,0.0,192.10000610351562,0.0,0,0,0,0
06-01 02:00,177.2,0.0,0.0,177.1999969482422,0.0,0,0,0,0
06-01 03:00,191.3,0.0,0.0,191.3000030517578,0.0,0,0,0,0
06-01 04:00,214.8,0.0,0.0,214.8000030517578,0.0,0,0,0,0
06-01 05:00,206.7,0.0,0.0,206.6999969482422,0.0,0,0,0,0
06-01 06:00,202.2,0.0,0.0,202.0,0.20000000298023224,0,0,0,0
06-01 07:00,245.9,0.0,0.0,245.5,0.4000000059604645,0,0,0,0
06-01 08:00,259.8,0.0,0.0,258.8999938964844,0.8999999761581421,0,0,0,0
06-01 09:00,261.7,0.0,0.0,260.5,1.2000000476837158,0,0,0,0
06-01 10:00,239.4,0.0,0.0,238.10000610351562,1.2999999523162842,0,0,0,0
06-01 11:00,213.8,0.0,0.0,212.5,1.2999999523162842,0,0,0,0
06-01 12:00,192.5,0.0,0.0,191.39999389648438,1.100000023841858,0,0,0,0
06-01 13:00,190.0,0.0,0.0,188.89999389648438,1.100000023841858,0,0,0,0
06-01 14:00,192.7,0.0,0.0,191.8000030517578,0.8999999761581421,0,0,0,0
06-01 15:00,187.1,0.0,0.0,186.5,0.6000000238418579,0,0,0,0
06-01 16:00,170.8,0.0,0.0,170.6999969482422,0.10000000149011612,0,0,0,0
06-01 17:00,194.3,0.0,0.0,194.3000030517578,0.0,0,0,0,0
06-01 18:00,185.6,0.0,0.0,185.60000610351562,0.0,0,0,0,0
06-01 19:00,180.0,0.0,0.0,180.0,0.0,0,0,0,0
06-01 20:00,191.1,0.0,0.0,191.10000610351562,0.0,0,0,0,0
06-01 21:00,185.6,0.0,0.0,185.60000610351562,0.0,0,0,0,0
06-01 22:00,176.3,0.0,0.0,176.3000030517578,0.0,0,0,0,0
06-01 23:00,217.5,0.0,0.0,217.5,0.0,0,0,0,0
07-01 00:00,182.5,0.0,0.0,182.5,0.0,0,0,0,0
07-01 01:00,219.4,0.0,0.0,219.39999389648438,0.0,0,0,0,0
07-01 02:00,210.7,0.0,0.0,210.6999969482422,0.0,0,0,0,0
07-01 03:00,215.1,0.0,0.0,215.0,0.0,0,0,0,0
07-01 04:00,222.5,0.0,0.0,222.5,0.0,0,0,0,0
07-01 05:00,211.5,0.0,0.0,211.5,0.0,0,0,0,0
07-01 06:00,227.9,0.0,0.0,227.8000030517578,0.10000000149011612,0,0,0,0
07-01 07:00,258.0,0.0,0.0,257.8999938964844,0.10000000149011612,0,0,0,0
07-01 08:00,289.2,0.0,0.0,288.8999938964844,0.30000001192092896,0,0,0,0
07-01 09:00,245.8,0.0,0.0,245.39999389648438,0.4000000059604645,0,0,0,0
07-01 10:00,220.5,0.0,0.0,220.10000610351562,0.4000000059604645,0,0,0,0
07-01 11:00,206.8,0.0,0.0,206.39999389648438,0.4000000059604645,0,0,0,0
07-01 12:00,198.6,0.0,0.0,198.1999969482422,0.4000000059604645,0,0,0,0
07-01 13:00,172.8,0.0,0.0,172.39999389648438,0.4000000059604645,0,0,0,0
07-01 14:00,128.2,0.0,0.0,128.0,0.20000000298023224,0,0,0,0
07-01 15:00,161.3,0.0,0.0,161.1999969482422,0.10000000149011612,0,0,0,0
07-01 16:00,148.9,0.0,0.0,148.8000030517578,0.0,0,0,0,0
07-01 17:00,151.8,0.0,0.0,151.8000030517578,0.0,0,0,0,0
07-01 18:00,148.3,0.0,0.0,148.3000030517578,0.0,0,0,0,0
