Zeit (TT-MM hh:mm),Wärme gesamt (kW),Kälte gesamt (kW),Strom gesamt (kW),Krankenhaus-Raumwärme (kW),Krankenhaus-Trinkwarmwasser (kW),Krankenhaus-Klimatisierung (kW),Krankenhaus-Prozesskälte (kW),Krankenhaus-Nutzerstrom (kW),Krankenhaus-Elektromobilität (kW)
01-01 00:00,101.9,0.0,0.0,84.69999694824219,17.200000762939453,0,0,0,0
01-01 01:00,102.3,0.0,0.0,87.30000305175781,15.0,0,0,0,0
01-01 02:00,90.4,0.0,0.0,78.80000305175781,11.600000381469727,0,0,0,0
01-01 03:00,95.6,0.0,0.0,83.9000015258789,11.699999809265137,0,0,0,0
01-01 04:00,105.5,0.0,0.0,93.9000015258789,11.600000381469727,0,0,0,0
01-01 05:00,122.1,0.0,0.0,101.19999694824219,20.899999618530273,0,0,0,0
01-01 06:00,179.2,0.0,0.0,137.1999969482422,42.0,0,0,0,0
01-01 07:00,184.0,0.0,0.0,139.10000610351562,44.900001525878906,0,0,0,0
01-01 08:00,189.1,0.0,0.0,146.6999969482422,42.400001525878906,0,0,0,0
01-01 09:00,189.9,0.0,0.0,152.0,38.0,0,0,0,0
01-01 10:00,187.9,0.0,0.0,153.39999389648438,34.400001525878906,0,0,0,0
01-01 11:00,174.4,0.0,0.0,144.3000030517578,30.100000381469727,0,0,0,0
01-01 12:00,158.7,0.0,0.0,130.5,28.200000762939453,0,0,0,0
01-01 13:00,157.1,0.0,0.0,130.5,26.600000381469727,0,0,0,0
01-01 14:00,159.8,0.0,0.0,131.60000610351562,28.200000762939453,0,0,0,0
01-01 15:00,167.2,0.0,0.0,139.8000030517578,27.399999618530273,0,0,0,0
01-01 16:00,156.2,0.0,0.0,133.3000030517578,22.899999618530273,0,0,0,0
01-01 17:00,135.6,0.0,0.0,116.0999984741211,19.5,0,0,0,0
01-01 18:00,138.1,0.0,0.0,119.9000015258789,18.200000762939453,0,0,0,0
01-01 19:00,129.5,0.0,0.0,112.30000305175781,17.200000762939453,0,0,0,0
01-01 20:00,124.0,0.0,0.0,107.5999984741211,16.399999618530273,0,0,0,0
01-01 21:00,128.0,0.0,0.0,111.0,17.0,0,0,0,0
01-01 22:00,125.3,0.0,0.0,108.30000305175781,17.0,0,0,0,0
01-01 23:00,129.4,0.0,0.0,113.30000305175781,16.100000381469727,0,0,0,0
02-01 00:00,157.7,0.0,0.0,140.1999969482422,17.5,0,0,0,0
02-01 01:00,158.1,0.0,0.0,143.0,15.0,0,0,0,0
02-01 02:00,147.0,0.0,0.0,134.8000030517578,12.199999809265137,0,0,0,0
02-01 03:00,159.8,0.0,0.0,147.1999969482422,12.600000381469727,0,0,0,0
02-01 04:00,173.4,0.0,0.0,160.1999969482422,13.199999809265137,0,0,0,0
02-01 05:00,182.9,0.0,0.0,162.0,20.799999237060547,0,0,0,0
02-01 06:00,269.8,0.0,0.0,218.6999969482422,51.099998474121094,0,0,0,0
02-01 07:00,271.9,0.0,0.0,217.8000030517578,54.099998474121094,0,0,0,0
02-01 08:00,264.7,0.0,0.0,215.5,49.20000076293945,0,0,0,0
02-01 09:00,260.1,0.0,0.0,216.89999389648438,43.20000076293945,0,0,0,0
02-01 10:00,267.4,0.0,0.0,229.10000610351562,38.29999923706055,0,0,0,0
02-01 11:00,250.0,0.0,0.0,215.0,35.0,0,0,0,0
02-01 12:00,245.7,0.0,0.0,211.60000610351562,34.099998474121094,0,0,0,0
02-01 13:00,242.5,0.0,0.0,208.3000030517578,34.20000076293945,0,0,0,0
02-01 14:00,218.9,0.0,0.0,187.5,31.399999618530273,0,0,0,0
02-01 15:00,219.4,0.0,0.0,187.3000030517578,32.099998474121094,0,0,0,0
02-01 16:00,217.2,0.0,0.0,187.6999969482422,29.5,0,0,0,0
02-01 17:00,208.8,0.0,0.0,181.8000030517578,27.0,0,0,0,0
02-01 18:00,216.5,0.0,0.0,191.39999389648438,25.100000381469727,0,0,0,0
02-01 19:00,194.8,0.0,0.0,171.8000030517578,23.0,0,0,0,0
02-01 20:00,180.9,0.0,0.0,160.8000030517578,20.200000762939453,0,0,0,0
02-01 21:00,188.8,0.0,0.0,169.3000030517578,19.5,0,0,0,0
02-01 22:00,178.7,0.0,0.0,160.3000030517578,18.399999618530273,0,0,0,0
02-01 23:00,191.5,0.0,0.0,172.5,19.0,0,0,0,0
03-01 00:00,210.6,0.0,0.0,192.39999389648438,18.200000762939453,0,0,0,0
03-01 01:00,191.9,0.0,0.0,177.6999969482422,14.199999809265137,0,0,0,0
03-01 02:00,194.0,0.0,0.0,181.60000610351562,12.399999618530273,0,0,0,0
