Zeit (TT-MM hh:mm),Wärme gesamt (kW),Kälte gesamt (kW),Strom gesamt (kW),Zone 1-Raumwärme (kW),Zone 1-Trinkwarmwasser (kW),Zone 1-Klimatisierung (kW),Zone 1-Prozesskälte (kW),Zone 1-Nutzerstrom (kW),Zone 1-Elektromobilität (kW)
01-01 00:00,112.2,0.0,0.0,111.19999694824219,1.0,0,0,0,0
01-01 01:00,115.5,0.0,0.0,114.5,1.0,0,0,0,0
01-01 02:00,107.2,0.0,0.0,106.30000305175781,0.8999999761581421,0,0,0,0
01-01 03:00,114.8,0.0,0.0,113.80000305175781,1.0,0,0,0,0
01-01 04:00,119.3,0.0,0.0,118.4000015258789,0.8999999761581421,0,0,0,0
01-01 05:00,118.9,0.0,0.0,118.0,1.0,0,0,0,0
01-01 06:00,135.5,0.0,0.0,134.5,1.0,0,0,0,0
01-01 07:00,135.1,0.0,0.0,134.10000610351562,1.0,0,0,0,0
01-01 08:00,142.7,0.0,0.0,141.60000610351562,1.100000023841858,0,0,0,0
01-01 09:00,145.3,0.0,0.0,143.8000030517578,1.5,0,0,0,0
01-01 10:00,143.0,0.0,0.0,141.1999969482422,1.7999999523162842,0,0,0,0
01-01 11:00,134.4,0.0,0.0,132.60000610351562,1.7999999523162842,0,0,0,0
01-01 12:00,124.0,0.0,0.0,122.30000305175781,1.7000000476837158,0,0,0,0
01-01 13:00,126.4,0.0,0.0,124.9000015258789,1.5,0,0,0,0
01-01 14:00,131.7,0.0,0.0,130.10000610351562,1.600000023841858,0,0,0,0
01-01 15:00,143.6,0.0,0.0,142.10000610351562,1.399999976158142,0,0,0,0
01-01 16:00,140.1,0.0,0.0,138.89999389648438,1.2000000476837158,0,0,0,0
01-01 17:00,123.1,0.0,0.0,122.0999984741211,1.0,0,0,0,0
01-01 18:00,131.0,0.0,0.0,130.10000610351562,0.8999999761581421,0,0,0,0
01-01 19:00,129.3,0.0,0.0,128.39999389648438,0.8999999761581421,0,0,0,0
01-01 20:00,128.8,0.0,0.0,127.9000015258789,1.0,0,0,0,0
01-01 21:00,138.4,0.0,0.0,137.39999389648438,1.0,0,0,0,0
01-01 22:00,136.4,0.0,0.0,135.39999389648438,1.0,0,0,0,0
01-01 23:00,141.0,0.0,0.0,140.0,1.0,0,0,0,0
02-01 00:00,208.3,0.0,0.0,207.3000030517578,1.0,0,0,0,0
02-01 01:00,212.4,0.0,0.0,211.39999389648438,1.0,0,0,0,0
02-01 02:00,204.8,0.0,0.0,203.8000030517578,1.0,0,0,0,0
02-01 03:00,224.4,0.0,0.0,223.3000030517578,1.100000023841858,0,0,0,0
02-01 04:00,227.3,0.0,0.0,226.1999969482422,1.100000023841858,0,0,0,0
02-01 05:00,213.7,0.0,0.0,212.6999969482422,1.0,0,0,0,0
02-01 06:00,241.0,0.0,0.0,239.6999969482422,1.2999999523162842,0,0,0,0
02-01 07:00,236.7,0.0,0.0,233.8000030517578,2.9000000953674316,0,0,0,0
02-01 08:00,236.9,0.0,0.0,231.60000610351562,5.300000190734863,0,0,0,0
02-01 09:00,236.6,0.0,0.0,228.8000030517578,7.800000190734863,0,0,0,0
02-01 10:00,244.0,0.0,0.0,235.39999389648438,8.600000381469727,0,0,0,0
02-01 11:00,229.9,0.0,0.0,221.1999969482422,8.699999809265137,0,0,0,0
02-01 12:00,232.5,0.0,0.0,224.5,8.0,0,0,0,0
02-01 13:00,233.8,0.0,0.0,226.0,7.800000190734863,0,0,0,0
02-01 14:00,217.3,0.0,0.0,210.39999389648438,7.0,0,0,0,0
02-01 15:00,223.1,0.0,0.0,216.60000610351562,6.5,0,0,0,0
02-01 16:00,225.7,0.0,0.0,221.10000610351562,4.599999904632568,0,0,0,0
02-01 17:00,219.5,0.0,0.0,216.1999969482422,3.299999952316284,0,0,0,0
02-01 18:00,237.1,0.0,0.0,234.60000610351562,2.5,0,0,0,0
02-01 19:00,224.6,0.0,0.0,222.8000030517578,1.7999999523162842,0,0,0,0
02-01 20:00,219.2,0.0,0.0,217.89999389648438,1.2999999523162842,0,0,0,0
02-01 21:00,237.4,0.0,0.0,236.39999389648438,1.0,0,0,0,0
02-01 22:00,227.8,0.0,0.0,226.8000030517578,1.0,0,0,0,0
02-01 23:00,242.1,0.0,0.0,241.0,1.0,0,0,0,0
03-01 00:00,269.8,0.0,0.0,268.70001220703125,1.100000023841858,0,0,0,0
03-01 01:00,249.2,0.0,0.0,248.1999969482422,1.0,0,0,0,0
03-01 02:00,260.0,0.0,0.0,259.0,1.0,0,0,0,0
03-01 03:00,240.5,0.0,0.0,239.60000610351562,1.0,0,0,0,0
03-01 04:00,266.7,0.0,0.0,265.70001220703125,1.0,0,0,0,0
03-01 05:00,287.2,0.0,0.0,286.1000061035156,1.100000023841858,0,0,0,0
03-01 06:00,288.0,0.0,0.0,286.6000061035156,1.399999976158142,0,0,0,0
03-01 07:00,293.6,0.0,0.0,290.3999938964844,3.0999999046325684,0,0,0,0
03-01 08:00,279.5,0.0,0.0,274.29998779296875,5.199999809265137,0,0,0,0
03-01 09:00,249.8,0.0,0.0,242.8000030517578,7.0,0,0,0,0
03-01 10:00,280.2,0.0,0.0,271.0,9.199999809265137,0,0,0,0
03-01 11:00,256.0,0.0,0.0,247.1999969482422,8.800000190734863,0,0,0,0
03-01 12:00,259.0,0.0,0.0,250.89999389648438,8.100000381469727,0,0,0,0
03-01 13:00,255.9,0.0,0.0,248.1999969482422,7.800000190734863,0,0,0,0
03-01 14:00,265.7,0.0,0.0,258.0,7.699999809265137,0,0,0,0
03-01 15:00,249.2,0.0,0.0,242.60000610351562,6.599999904632568,0,0,0,0
03-01 16:00,256.4,0.0,0.0,251.60000610351562,4.800000190734863,0,0,0,0
03-01 17:00,266.8,0.0,0.0,263.1000061035156,3.700000047683716,0,0,0,0
03-01 18:00,241.1,0.0,0.0,238.6999969482422,2.4000000953674316,0,0,0,0
03-01 19:00,257.0,0.0,0.0,255.10000610351562,1.899999976158142,0,0,0,0
03-01 20:00,250.9,0.0,0.0,249.5,1.399999976158142,0,0,0,0
03-01 21:00,225.0,0.0,0.0,224.10000610351562,0.8999999761581421,0,0,0,0
03-01 22:00,259.6,0.0,0.0,258.6000061035156,1.0,0,0,0,0
03-01 23:00,239.8,0.0,0.0,238.8000030517578,1.0,0,0,0,0
04-01 00:00,241.5,0.0,0.0,240.5,1.0,0,0,0,0
04-01 01:00,234.4,0.0,0.0,233.39999389648438,1.0,0,0,0,0
04-01 02:00,256.5,0.0,0.0,255.39999389648438,1.100000023841858,0,0,0,0
04-01 03:00,254.5,0.0,0.0,253.5,1.0,0,0,0,0
04-01 04:00,252.5,0.0,0.0,251.5,1.0,0,0,0,0
04-01 05:00,258.6,0.0,0.0,257.6000061035156,1.0,0,0,0,0
04-01 06:00,248.5,0.0,0.0,247.3000030517578,1.2000000476837158,0,0,0,0
04-01 07:00,287.2,0.0,0.0,284.0,3.200000047683716,0,0,0,0
04-01 08:00,268.6,0.0,0.0,263.3999938964844,5.199999809265137,0,0,0,0
04-01 09:00,238.7,0.0,0.0,231.89999389648438,6.800000190734863,0,0,0,0
04-01 10:00,246.3,0.0,0.0,237.8000030517578,8.5,0,0,0,0
04-01 11:00,241.9,0.0,0.0,233.0,9.0,0,0,0,0
04-01 12:00,244.5,0.0,0.0,236.3000030517578,8.199999809265137,0,0,0,0
04-01 13:00,238.7,0.0,0.0,231.10000610351562,7.599999904632568,0,0,0,0
04-01 14:00,233.6,0.0,0.0,226.3000030517578,7.300000190734863,0,0,0,0
04-01 15:00,230.1,0.0,0.0,223.5,6.599999904632568,0,0,0,0
04-01 16:00,238.8,0.0,0.0,233.89999389648438,5.0,0,0,0,0
04-01 17:00,218.9,0.0,0.0,215.60000610351562,3.4000000953674316,0,0,0,0
04-01 18:00,208.8,0.0,0.0,206.39999389648438,2.4000000953674316,0,0,0,0
04-01 19:00,199.1,0.0,0.0,197.39999389648438,1.7000000476837158,0,0,0,0
04-01 20:00,208.4,0.0,0.0,207.0,1.399999976158142,0,0,0,0
04-01 21:00,199.8,0.0,0.0,198.8000030517578,1.0,0,0,0,0
04-01 22:00,199.1,0.0,0.0,198.10000610351562,1.0,0,0,0,0
04-01 23:00,207.8,0.0,0.0,206.6999969482422,1.100000023841858,0,0,0,0
05-01 00:00,171.7,0.0,0.0,170.6999969482422,1.0,0,0,0,0
05-01 01:00,168.4,0.0,0.0,167.39999389648438,1.0,0,0,0,0
05-01 02:00,157.1,0.0,0.0,156.1999969482422,1.0,0,0,0,0
05-01 03:00,165.2,0.0,0.0,164.1999969482422,1.0,0,0,0,0
05-01 04:00,160.8,0.0,0.0,159.8000030517578,1.0,0,0,0,0
05-01 05:00,170.1,0.0,0.0,169.10000610351562,1.0,0,0,0,0
05-01 06:00,163.1,0.0,0.0,161.89999389648438,1.2000000476837158,0,0,0,0
05-01 07:00,187.8,0.0,0.0,184.60000610351562,3.200000047683716,0,0,0,0
05-01 08:00,167.5,0.0,0.0,162.60000610351562,4.900000095367432,0,0,0,0
05-01 09:00,167.9,0.0,0.0,160.6999969482422,7.199999809265137,0,0,0,0
05-01 10:00,186.3,0.0,0.0,176.89999389648438,9.399999618530273,0,0,0,0
05-01 11:00,179.3,0.0,0.0,169.8000030517578,9.399999618530273,0,0,0,0
05-01 12:00,148.4,0.0,0.0,141.0,7.400000095367432,0,0,0,0
