Zeit (TT-MM hh:mm),Wärme gesamt (kW),Kälte gesamt (kW),Strom gesamt (kW),Zone 1-Raumwärme (kW),Zone 1-Trinkwarmwasser (kW),Zone 1-Klimatisierung (kW),Zone 1-Prozesskälte (kW),Zone 1-Nutzerstrom (kW),Zone 1-Elektromobilität (kW)
01-01 00:00,140.9,0.0,0.0,140.89999389648438,0.0,0,0,0,0
01-01 01:00,145.9,0.0,0.0,145.89999389648438,0.0,0,0,0,0
01-01 02:00,133.2,0.0,0.0,133.1999969482422,0.0,0,0,0,0
01-01 03:00,140.2,0.0,0.0,140.1999969482422,0.0,0,0,0,0
01-01 04:00,138.3,0.0,0.0,138.3000030517578,0.0,0,0,0,0
01-01 05:00,132.7,0.0,0.0,132.6999969482422,0.0,0,0,0,0
01-01 06:00,143.1,0.0,0.0,143.10000610351562,0.0,0,0,0,0
01-01 07:00,136.0,0.0,0.0,135.6999969482422,0.30000001192092896,0,0,0,0
01-01 08:00,137.7,0.0,0.0,136.39999389648438,1.2999999523162842,0,0,0,0
01-01 09:00,140.8,0.0,0.0,137.10000610351562,3.700000047683716,0,0,0,0
01-01 10:00,141.9,0.0,0.0,135.89999389648438,6.0,0,0,0,0
01-01 11:00,141.9,0.0,0.0,127.80000305175781,14.100000381469727,0,0,0,0
01-01 12:00,139.5,0.0,0.0,119.5,20.0,0,0,0,0
01-01 13:00,152.7,0.0,0.0,127.9000015258789,24.799999237060547,0,0,0,0
01-01 14:00,166.7,0.0,0.0,135.1999969482422,31.5,0,0,0,0
01-01 15:00,188.0,0.0,0.0,157.5,30.5,0,0,0,0
01-01 16:00,180.1,0.0,0.0,158.89999389648438,21.200000762939453,0,0,0,0
01-01 17:00,151.5,0.0,0.0,143.5,8.0,0,0,0,0
01-01 18:00,159.5,0.0,0.0,154.6999969482422,4.800000190734863,0,0,0,0
01-01 19:00,158.2,0.0,0.0,155.5,2.700000047683716,0,0,0,0
01-01 20:00,158.0,0.0,0.0,157.10000610351562,0.8999999761581421,0,0,0,0
01-01 21:00,168.7,0.0,0.0,168.6999969482422,0.0,0,0,0,0
01-01 22:00,170.3,0.0,0.0,170.3000030517578,0.0,0,0,0,0
01-01 23:00,175.7,0.0,0.0,175.6999969482422,0.0,0,0,0,0
02-01 00:00,229.1,0.0,0.0,229.10000610351562,0.0,0,0,0,0
02-01 01:00,234.9,0.0,0.0,234.89999389648438,0.0,0,0,0,0
02-01 02:00,223.5,0.0,0.0,223.5,0.0,0,0,0,0
02-01 03:00,241.7,0.0,0.0,241.6999969482422,0.0,0,0,0,0
02-01 04:00,236.5,0.0,0.0,236.5,0.0,0,0,0,0
02-01 05:00,211.8,0.0,0.0,211.8000030517578,0.0,0,0,0,0
02-01 06:00,227.8,0.0,0.0,227.8000030517578,0.0,0,0,0,0
02-01 07:00,212.0,0.0,0.0,212.0,0.0,0,0,0,0
02-01 08:00,197.8,0.0,0.0,197.8000030517578,0.0,0,0,0,0
02-01 09:00,196.7,0.0,0.0,192.8000030517578,3.9000000953674316,0,0,0,0
02-01 10:00,215.3,0.0,0.0,207.0,8.399999618530273,0,0,0,0
02-01 11:00,202.5,0.0,0.0,192.10000610351562,10.399999618530273,0,0,0,0
02-01 12:00,211.0,0.0,0.0,198.5,12.5,0,0,0,0
02-01 13:00,217.4,0.0,0.0,203.60000610351562,13.800000190734863,0,0,0,0
02-01 14:00,207.7,0.0,0.0,194.3000030517578,13.399999618530273,0,0,0,0
02-01 15:00,223.3,0.0,0.0,209.89999389648438,13.399999618530273,0,0,0,0
02-01 16:00,233.6,0.0,0.0,223.39999389648438,10.199999809265137,0,0,0,0
02-01 17:00,231.7,0.0,0.0,224.8000030517578,6.900000095367432,0,0,0,0
02-01 18:00,253.0,0.0,0.0,247.6999969482422,5.300000190734863,0,0,0,0
02-01 19:00,242.2,0.0,0.0,239.3000030517578,2.9000000953674316,0,0,0,0
02-01 20:00,237.8,0.0,0.0,236.89999389648438,1.0,0,0,0,0
02-01 21:00,258.0,0.0,0.0,258.0,0.0,0,0,0,0
02-01 22:00,252.9,0.0,0.0,252.89999389648438,0.0,0,0,0,0
02-01 23:00,269.5,0.0,0.0,269.5,0.0,0,0,0,0
03-01 00:00,304.7,0.0,0.0,304.70001220703125,0.0,0,0,0,0
03-01 01:00,282.9,0.0,0.0,282.8999938964844,0.0,0,0,0,0
03-01 02:00,291.6,0.0,0.0,291.6000061035156,0.0,0,0,0,0
03-01 03:00,266.0,0.0,0.0,266.0,0.0,0,0,0,0
03-01 04:00,285.5,0.0,0.0,285.5,0.0,0,0,0,0
03-01 05:00,292.2,0.0,0.0,292.20001220703125,0.0,0,0,0,0
03-01 06:00,279.6,0.0,0.0,279.6000061035156,0.0,0,0,0,0
03-01 07:00,270.9,0.0,0.0,270.8999938964844,0.0,0,0,0,0
03-01 08:00,244.5,0.0,0.0,244.5,0.0,0,0,0,0
03-01 09:00,215.1,0.0,0.0,211.60000610351562,3.5,0,0,0,0
03-01 10:00,246.3,0.0,0.0,237.3000030517578,9.0,0,0,0,0
03-01 11:00,226.8,0.0,0.0,216.3000030517578,10.5,0,0,0,0
03-01 12:00,236.2,0.0,0.0,223.60000610351562,12.600000381469727,0,0,0,0
03-01 13:00,239.6,0.0,0.0,226.0,13.600000381469727,0,0,0,0
03-01 14:00,255.9,0.0,0.0,241.0,14.899999618530273,0,0,0,0
03-01 15:00,251.6,0.0,0.0,238.10000610351562,13.5,0,0,0,0
03-01 16:00,268.1,0.0,0.0,257.6000061035156,10.5,0,0,0,0
03-01 17:00,285.1,0.0,0.0,277.3999938964844,7.599999904632568,0,0,0,0
03-01 18:00,259.7,0.0,0.0,254.60000610351562,5.0,0,0,0,0
03-01 19:00,281.0,0.0,0.0,278.0,3.0,0,0,0,0
03-01 20:00,276.3,0.0,0.0,275.29998779296875,1.0,0,0,0,0
03-01 21:00,248.0,0.0,0.0,248.0,0.0,0,0,0,0
03-01 22:00,292.8,0.0,0.0,292.79998779296875,0.0,0,0,0,0
03-01 23:00,270.2,0.0,0.0,270.20001220703125,0.0,0,0,0,0
04-01 00:00,269.9,0.0,0.0,269.8999938964844,0.0,0,0,0,0
04-01 01:00,263.1,0.0,0.0,263.1000061035156,0.0,0,0,0,0
04-01 02:00,284.6,0.0,0.0,284.6000061035156,0.0,0,0,0,0
04-01 03:00,279.2,0.0,0.0,279.20001220703125,0.0,0,0,0,0
04-01 04:00,268.6,0.0,0.0,268.6000061035156,0.0,0,0,0,0
04-01 05:00,263.4,0.0,0.0,263.3999938964844,0.0,0,0,0,0
04-01 06:00,240.7,0.0,0.0,240.6999969482422,0.0,0,0,0,0
04-01 07:00,264.9,0.0,0.0,264.8999938964844,0.0,0,0,0,0
04-01 08:00,235.3,0.0,0.0,235.3000030517578,0.0,0,0,0,0
04-01 09:00,208.2,0.0,0.0,204.8000030517578,3.4000000953674316,0,0,0,0
04-01 10:00,217.1,0.0,0.0,208.8000030517578,8.300000190734863,0,0,0,0
04-01 11:00,212.8,0.0,0.0,202.10000610351562,10.699999809265137,0,0,0,0
04-01 12:00,221.7,0.0,0.0,208.8000030517578,12.899999618530273,0,0,0,0
04-01 13:00,223.9,0.0,0.0,210.5,13.399999618530273,0,0,0,0
04-01 14:00,223.3,0.0,0.0,209.10000610351562,14.199999809265137,0,0,0,0
04-01 15:00,230.4,0.0,0.0,216.89999389648438,13.5,0,0,0,0
04-01 16:00,246.3,0.0,0.0,235.39999389648438,10.899999618530273,0,0,0,0
04-01 17:00,230.6,0.0,0.0,223.60000610351562,7.0,0,0,0,0
04-01 18:00,220.5,0.0,0.0,215.39999389648438,5.0,0,0,0,0
04-01 19:00,212.8,0.0,0.0,210.0,2.799999952316284,0,0,0,0
04-01 20:00,224.3,0.0,0.0,223.3000030517578,1.0,0,0,0,0
04-01 21:00,214.4,0.0,0.0,214.39999389648438,0.0,0,0,0,0
04-01 22:00,219.2,0.0,0.0,219.1999969482422,0.0,0,0,0,0
04-01 23:00,227.8,0.0,0.0,227.8000030517578,0.0,0,0,0,0
05-01 00:00,180.2,0.0,0.0,180.1999969482422,0.0,0,0,0,0
05-01 01:00,177.6,0.0,0.0,177.60000610351562,0.0,0,0,0,0
05-01 02:00,163.7,0.0,0.0,163.6999969482422,0.0,0,0,0,0
05-01 03:00,168.7,0.0,0.0,168.6999969482422,0.0,0,0,0,0
05-01 04:00,158.7,0.0,0.0,158.6999969482422,0.0,0,0,0,0
05-01 05:00,160.2,0.0,0.0,160.1999969482422,0.0,0,0,0,0
05-01 06:00,144.4,0.0,0.0,144.39999389648438,0.0,0,0,0,0
05-01 07:00,157.0,0.0,0.0,157.0,0.0,0,0,0,0
05-01 08:00,131.8,0.0,0.0,131.8000030517578,0.0,0,0,0,0
05-01 09:00,132.1,0.0,0.0,128.5,3.5999999046325684,0,0,0,0
05-01 10:00,151.3,0.0,0.0,142.10000610351562,9.199999809265137,0,0,0,0
05-01 11:00,147.6,0.0,0.0,136.3000030517578,11.300000190734863,0,0,0,0
05-01 12:00,124.4,0.0,0.0,112.80000305175781,11.600000381469727,0,0,0,0
05-01 13:00,133.0,0.0,0.0,120.30000305175781,12.699999809265137,0,0,0,0
05-01 14:00,147.1,0.0,0.0,132.8000030517578,14.300000190734863,0,0,0,0
05-01 15:00,154.1,0.0,0.0,141.0,13.100000381469727,0,0,0,0
05-01 16:00,166.2,0.0,0.0,156.0,10.199999809265137,0,0,0,0
05-01 17:00,160.6,0.0,0.0,153.8000030517578,6.800000190734863,0,0,0,0
05-01 18:00,173.8,0.0,0.0,168.39999389648438,5.400000095367432,0,0,0,0
05-01 19:00,184.9,0.0,0.0,181.8000030517578,3.0999999046325684,0,0,0,0
05-01 20:00,179.4,0.0,0.0,178.39999389648438,1.0,0,0,0,0
05-01 21:00,183.8,0.0,0.0,183.8000030517578,0.0,0,0,0,0
05-01 22:00,175.4,0.0,0.0,175.39999389648438,0.0,0,0,0,0
05-01 23:00,193.4,0.0,0.0,193.39999389648438,0.0,0,0,0,0
06-01 00:00,235.9,0.0,0.0,236.0,0.0,0,0,0,0
06-01 01:00,239.6,0.0,0.0,239.60000610351562,0.0,0,0,0,0
06-01 02:00,221.0,0.0,0.0,221.0,0.0,0,0,0,0
06-01 03:00,231.7,0.0,0.0,231.6999969482422,0.0,0,0,0,0
06-01 04:00,250.4,0.0,0.0,250.39999389648438,0.0,0,0,0,0
06-01 05:00,238.3,0.0,0.0,238.3000030517578,0.0,0,0,0,0
06-01 06:00,225.2,0.0,0.0,225.1999969482422,0.0,0,0,0,0
06-01 07:00,220.5,0.0,0.0,220.1999969482422,0.30000001192092896,0,0,0,0
06-01 08:00,213.9,0.0,0.0,212.60000610351562,1.2999999523162842,0,0,0,0
06-01 09:00,224.0,0.0,0.0,220.3000030517578,3.700000047683716,0,0,0,0
06-01 10:00,218.8,0.0,0.0,212.1999969482422,6.599999904632568,0,0,0,0
06-01 11:00,214.0,0.0,0.0,198.6999969482422,15.300000190734863,0,0,0,0
06-01 12:00,208.9,0.0,0.0,187.39999389648438,21.5,0,0,0,0
06-01 13:00,221.9,0.0,0.0,195.0,26.899999618530273,0,0,0,0
06-01 14:00,242.9,0.0,0.0,210.39999389648438,32.5,0,0,0,0
06-01 15:00,247.5,0.0,0.0,216.0,31.5,0,0,0,0
06-01 16:00,232.3,0.0,0.0,210.0,22.299999237060547,0,0,0,0
06-01 17:00,245.4,0.0,0.0,236.0,9.399999618530273,0,0,0,0
06-01 18:00,241.4,0.0,0.0,236.1999969482422,5.199999809265137,0,0,0,0
06-01 19:00,233.2,0.0,0.0,230.39999389648438,2.799999952316284,0,0,0,0
06-01 20:00,245.6,0.0,0.0,244.60000610351562,1.0,0,0,0,0
06-01 21:00,237.5,0.0,0.0,237.5,0.0,0,0,0,0
06-01 22:00,228.0,0.0,0.0,228.0,0.0,0,0,0,0
06-01 23:00,263.7,0.0,0.0,263.70001220703125,0.0,0,0,0,0
07-01 00:00,218.4,0.0,0.0,218.39999389648438,0.0,0,0,0,0
07-01 01:00,249.8,0.0,0.0,249.8000030517578,0.0,0,0,0,0
07-01 02:00,239.9,0.0,0.0,239.89999389648438,0.0,0,0,0,0
07-01 03:00,244.9,0.0,0.0,244.8000030517578,0.0,0,0,0,0
07-01 04:00,245.1,0.0,0.0,245.10000610351562,0.0,0,0,0,0
07-01 05:00,230.7,0.0,0.0,230.6999969482422,0.0,0,0,0,0
07-01 06:00,241.6,0.0,0.0,241.60000610351562,0.0,0,0,0,0
07-01 07:00,230.4,0.0,0.0,230.1999969482422,0.30000001192092896,0,0,0,0
07-01 08:00,239.5,0.0,0.0,238.10000610351562,1.399999976158142,0,0,0,0
07-01 09:00,211.1,0.0,0.0,207.60000610351562,3.4000000953674316,0,0,0,0
07-01 10:00,203.3,0.0,0.0,197.60000610351562,5.699999809265137,0,0,0,0
07-01 11:00,208.7,0.0,0.0,194.1999969482422,14.5,0,0,0,0
07-01 12:00,215.3,0.0,0.0,194.6999969482422,20.600000381469727,0,0,0,0
07-01 13:00,214.7,0.0,0.0,187.60000610351562,27.100000381469727,0,0,0,0
07-01 14:00,180.1,0.0,0.0,153.89999389648438,26.200000762939453,0,0,0,0
07-01 15:00,228.2,0.0,0.0,198.0,30.200000762939453,0,0,0,0
07-01 16:00,216.9,0.0,0.0,195.1999969482422,21.700000762939453,0,0,0,0
07-01 17:00,211.6,0.0,0.0,202.6999969482422,8.899999618530273,0,0,0,0
07-01 18:00,214.4,0.0,0.0,209.0,5.400000095367432,0,0,0,0
07-01 19:00,215.3,0.0,0.0,212.3000030517578,3.0,0,0,0,0
07-01 20:00,203.3,0.0,0.0,202.3000030517578,1.0,0,0,0,0
07-01 21:00,194.2,0.0,0.0,194.1999969482422,0.0,0,0,0,0
07-01 22:00,190.4,0.0,0.0,190.39999389648438,0.0,0,0,0,0
07-01 23:00,202.6,0.0,0.0,202.60000610351562,0.0,0,0,0,0
08-01 00:00,189.5,0.0,0.0,189.5,0.0,0,0,0,0
08-01 01:00,186.8,0.0,0.0,186.8000030517578,0.0,0,0,0,0
08-01 02:00,172.0,0.0,0.0,172.0,0.0,0,0,0,0
08-01 03:00,166.4,0.0,0.0,166.39999389648438,0.0,0,0,0,0
08-01 04:00,179.2,0.0,0.0,179.1999969482422,0.0,0,0,0,0
08-01 05:00,188.0,0.0,0.0,188.0,0.0,0,0,0,0
08-01 06:00,165.6,0.0,0.0,165.60000610351562,0.0,0,0,0,0
08-01 07:00,175.7,0.0,0.0,175.6999969482422,0.0,0,0,0,0
08-01 08:00,152.9,0.0,0.0,152.89999389648438,0.0,0,0,0,0
08-01 09:00,171.3,0.0,0.0,167.3000030517578,4.0,0,0,0,0
08-01 10:00,168.2,0.0,0.0,159.5,8.699999809265137,0,0,0,0
08-01 11:00,171.9,0.0,0.0,160.6999969482422,11.199999809265137,0,0,0,0
08-01 12:00,160.4,0.0,0.0,147.8000030517578,12.600000381469727,0,0,0,0
08-01 13:00,157.2,0.0,0.0,144.5,12.699999809265137,0,0,0,0
08-01 14:00,180.4,0.0,0.0,165.5,14.899999618530273,0,0,0,0
08-01 15:00,175.3,0.0,0.0,161.89999389648438,13.399999618530273,0,0,0,0
08-01 16:00,183.0,0.0,0.0,172.39999389648438,10.600000381469727,0,0,0,0
08-01 17:00,188.1,0.0,0.0,180.89999389648438,7.199999809265137,0,0,0,0
08-01 18:00,200.7,0.0,0.0,195.39999389648438,5.300000190734863,0,0,0,0
08-01 19:00,193.6,0.0,0.0,190.6999969482422,2.9000000953674316,0,0,0,0
08-01 20:00,208.4,0.0,0.0,207.39999389648438,1.0,0,0,0,0
08-01 21:00,197.4,0.0,0.0,197.39999389648438,0.0,0,0,0,0
08-01 22:00,195.4,0.0,0.0,195.39999389648438,0.0,0,0,0,0
08-01 23:00,197.4,0.0,0.0,197.39999389648438,0.0,0,0,0,0
09-01 00:00,228.1,0.0,0.0,228.10000610351562,0.0,0,0,0,0
09-01 01:00,222.2,0.0,0.0,222.1999969482422,0.0,0,0,0,0
09-01 02:00,248.2,0.0,0.0,248.1999969482422,0.0,0,0,0,0
09-01 03:00,241.1,0.0,0.0,241.10000610351562,0.0,0,0,0,0
09-01 04:00,233.7,0.0,0.0,233.6999969482422,0.0,0,0,0,0
09-01 05:00,210.6,0.0,0.0,210.60000610351562,0.0,0,0,0,0
09-01 06:00,229.8,0.0,0.0,229.8000030517578,0.0,0,0,0,0
09-01 07:00,231.4,0.0,0.0,231.39999389648438,0.0,0,0,0,0
09-01 08:00,213.0,0.0,0.0,213.0,0.0,0,0,0,0
09-01 09:00,220.4,0.0,0.0,216.39999389648438,4.0,0,0,0,0
09-01 10:00,224.0,0.0,0.0,215.1999969482422,8.800000190734863,0,0,0,0
09-01 11:00,217.1,0.0,0.0,205.89999389648438,11.199999809265137,0,0,0,0
09-01 12:00,210.7,0.0,0.0,198.1999969482422,12.5,0,0,0,0
09-01 13:00,221.5,0.0,0.0,208.0,13.5,0,0,0,0
09-01 14:00,229.4,0.0,0.0,214.5,14.899999618530273,0,0,0,0
09-01 15:00,216.2,0.0,0.0,203.1999969482422,13.0,0,0,0,0
09-01 16:00,230.9,0.0,0.0,220.8000030517578,10.100000381469727,0,0,0,0
09-01 17:00,224.2,0.0,0.0,217.5,6.699999809265137,0,0,0,0
09-01 18:00,243.7,0.0,0.0,238.39999389648438,5.300000190734863,0,0,0,0
09-01 19:00,240.3,0.0,0.0,237.3000030517578,3.0,0,0,0,0
09-01 20:00,222.7,0.0,0.0,221.6999969482422,1.0,0,0,0,0
09-01 21:00,219.5,0.0,0.0,219.5,0.0,0,0,0,0
09-01 22:00,246.8,0.0,0.0,246.8000030517578,0.0,0,0,0,0
09-01 23:00,230.9,0.0,0.0,230.89999389648438,0.0,0,0,0,0
10-01 00:00,232.4,0.0,0.0,232.39999389648438,0.0,0,0,0,0
10-01 01:00,235.0,0.0,0.0,235.0,0.0,0,0,0,0
10-01 02:00,237.4,0.0,0.0,237.39999389648438,0.0,0,0,0,0
10-01 03:00,261.9,0.0,0.0,261.8999938964844,0.0,0,0,0,0
10-01 04:00,241.9,0.0,0.0,241.89999389648438,0.0,0,0,0,0
10-01 05:00,225.0,0.0,0.0,225.0,0.0,0,0,0,0
10-01 06:00,235.3,0.0,0.0,235.3000030517578,0.0,0,0,0,0
10-01 07:00,238.7,0.0,0.0,238.6999969482422,0.0,0,0,0,0
10-01 08:00,226.2,0.0,0.0,226.1999969482422,0.0,0,0,0,0
10-01 09:00,224.8,0.0,0.0,221.0,3.799999952316284,0,0,0,0
10-01 10:00,230.3,0.0,0.0,221.5,8.800000190734863,0,0,0,0
10-01 11:00,223.0,0.0,0.0,212.3000030517578,10.699999809265137,0,0,0,0
10-01 12:00,232.4,0.0,0.0,219.0,13.399999618530273,0,0,0,0
10-01 13:00,216.6,0.0,0.0,203.8000030517578,12.800000190734863,0,0,0,0
10-01 14:00,250.4,0.0,0.0,235.1999969482422,15.199999809265137,0,0,0,0
10-01 15:00,217.1,0.0,0.0,204.89999389648438,12.199999809265137,0,0,0,0
10-01 16:00,249.4,0.0,0.0,239.1999969482422,10.199999809265137,0,0,0,0
10-01 17:00,255.2,0.0,0.0,248.0,7.199999809265137,0,0,0,0
10-01 18:00,273.7,0.0,0.0,268.1000061035156,5.599999904632568,0,0,0,0
10-01 19:00,263.7,0.0,0.0,260.79998779296875,2.9000000953674316,0,0,0,0
10-01 20:00,258.0,0.0,0.0,257.0,1.0,0,0,0,0
10-01 21:00,268.6,0.0,0.0,268.6000061035156,0.0,0,0,0,0
10-01 22:00,260.9,0.0,0.0,260.8999938964844,0.0,0,0,0,0
10-01 23:00,260.9,0.0,0.0,260.8999938964844,0.0,0,0,0,0
11-01 00:00,262.2,0.0,0.0,262.20001220703125,0.0,0,0,0,0
11-01 01:00,250.7,0.0,0.0,250.6999969482422,0.0,0,0,0,0
11-01 02:00,253.2,0.0,0.0,253.1999969482422,0.0,0,0,0,0
11-01 03:00,256.5,0.0,0.0,256.6000061035156,0.0,0,0,0,0
11-01 04:00,245.8,0.0,0.0,245.8000030517578,0.0,0,0,0,0
11-01 05:00,248.3,0.0,0.0,248.3000030517578,0.0,0,0,0,0
11-01 06:00,269.0,0.0,0.0,269.0,0.0,0,0,0,0
11-01 07:00,239.5,0.0,0.0,239.5,0.0,0,0,0,0
11-01 08:00,234.3,0.0,0.0,234.3000030517578,0.0,0,0,0,0
11-01 09:00,226.3,0.0,0.0,222.5,3.799999952316284,0,0,0,0
11-01 10:00,220.4,0.0,0.0,212.10000610351562,8.300000190734863,0,0,0,0
11-01 11:00,250.2,0.0,0.0,238.39999389648438,11.800000190734863,0,0,0,0
11-01 12:00,229.7,0.0,0.0,216.6999969482422,13.0,0,0,0,0
11-01 13:00,232.1,0.0,0.0,218.0,14.100000381469727,0,0,0,0
11-01 14:00,219.6,0.0,0.0,206.0,13.600000381469727,0,0,0,0
11-01 15:00,213.3,0.0,0.0,200.60000610351562,12.699999809265137,0,0,0,0
11-01 16:00,217.8,0.0,0.0,207.60000610351562,10.199999809265137,0,0,0,0
11-01 17:00,220.5,0.0,0.0,213.39999389648438,7.099999904632568,0,0,0,0
11-01 18:00,220.9,0.0,0.0,215.5,5.400000095367432,0,0,0,0
11-01 19:00,206.7,0.0,0.0,203.6999969482422,3.0,0,0,0,0
11-01 20:00,204.7,0.0,0.0,203.6999969482422,1.0,0,0,0,0
11-01 21:00,177.8,0.0,0.0,177.8000030517578,0.0,0,0,0,0
11-01 22:00,219.4,0.0,0.0,219.39999389648438,0.0,0,0,0,0
11-01 23:00,217.3,0.0,0.0,217.3000030517578,0.0,0,0,0,0
12-01 00:00,177.3,0.0,0.0,177.3000030517578,0.0,0,0,0,0
12-01 01:00,170.9,0.0,0.0,170.89999389648438,0.0,0,0,0,0
