Zeit (TT-MM hh:mm),Wärme gesamt (kW),Kälte gesamt (kW),Strom gesamt (kW),Zone 1-Raumwärme (kW),Zone 1-Trinkwarmwasser (kW),Zone 1-Klimatisierung (kW),Zone 1-Prozesskälte (kW),Zone 1-Nutzerstrom (kW),Zone 1-Elektromobilität (kW)
01-01 00:00,97.8,0.0,0.0,97.80000305175781,0.0,0,0,0,0
01-01 01:00,100.7,0.0,0.0,100.69999694824219,0.0,0,0,0,0
01-01 02:00,98.5,0.0,0.0,98.5,0.0,0,0,0,0
01-01 03:00,103.8,0.0,0.0,103.80000305175781,0.0,0,0,0,0
01-01 04:00,110.5,0.0,0.0,110.5,0.0,0,0,0,0
01-01 05:00,94.8,0.0,0.0,94.80000305175781,0.0,0,0,0,0
01-01 06:00,110.7,0.0,0.0,110.5,0.20000000298023224,0,0,0,0
01-01 07:00,107.4,0.0,0.0,107.19999694824219,0.20000000298023224,0,0,0,0
01-01 08:00,111.9,0.0,0.0,111.5999984741211,0.4000000059604645,0,0,0,0
01-01 09:00,115.4,0.0,0.0,114.9000015258789,0.5,0,0,0,0
01-01 10:00,116.5,0.0,0.0,116.0,0.5,0,0,0,0
01-01 11:00,111.0,0.0,0.0,110.5,0.5,0,0,0,0
01-01 12:00,97.3,0.0,0.0,96.80000305175781,0.5,0,0,0,0
01-01 13:00,107.7,0.0,0.0,107.19999694824219,0.5,0,0,0,0
01-01 14:00,105.0,0.0,0.0,104.5999984741211,0.4000000059604645,0,0,0,0
01-01 15:00,131.0,0.0,0.0,130.60000610351562,0.4000000059604645,0,0,0,0
01-01 16:00,134.7,0.0,0.0,134.5,0.20000000298023224,0,0,0,0
01-01 17:00,114.6,0.0,0.0,114.5999984741211,0.0,0,0,0,0
01-01 18:00,127.7,0.0,0.0,127.69999694824219,0.0,0,0,0,0
01-01 19:00,134.4,0.0,0.0,134.39999389648438,0.0,0,0,0,0
01-01 20:00,135.8,0.0,0.0,135.8000030517578,0.0,0,0,0,0
01-01 21:00,138.6,0.0,0.0,138.60000610351562,0.0,0,0,0,0
01-01 22:00,145.8,0.0,0.0,145.8000030517578,0.0,0,0,0,0
01-01 23:00,148.6,0.0,0.0,148.60000610351562,0.0,0,0,0,0
02-01 00:00,201.6,0.0,0.0,201.60000610351562,0.0,0,0,0,0
02-01 01:00,205.6,0.0,0.0,205.60000610351562,0.0,0,0,0,0
02-01 02:00,208.1,0.0,0.0,208.10000610351562,0.0,0,0,0,0
02-01 03:00,225.1,0.0,0.0,225.10000610351562,0.0,0,0,0,0
02-01 04:00,225.1,0.0,0.0,225.10000610351562,0.0,0,0,0,0
02-01 05:00,191.6,0.0,0.0,191.60000610351562,0.0,0,0,0,0
02-01 06:00,209.8,0.0,0.0,209.60000610351562,0.20000000298023224,0,0,0,0
02-01 07:00,199.8,0.0,0.0,199.60000610351562,0.20000000298023224,0,0,0,0
02-01 08:00,189.0,0.0,0.0,188.6999969482422,0.4000000059604645,0,0,0,0
02-01 09:00,189.2,0.0,0.0,188.6999969482422,0.5,0,0,0,0
02-01 10:00,218.7,0.0,0.0,218.1999969482422,0.5,0,0,0,0
02-01 11:00,202.2,0.0,0.0,201.6999969482422,0.5,0,0,0,0
02-01 12:00,206.4,0.0,0.0,205.89999389648438,0.5,0,0,0,0
02-01 13:00,204.1,0.0,0.0,203.60000610351562,0.5,0,0,0,0
02-01 14:00,189.9,0.0,0.0,189.60000610351562,0.30000001192092896,0,0,0,0
02-01 15:00,197.9,0.0,0.0,197.60000610351562,0.30000001192092896,0,0,0,0
02-01 16:00,210.4,0.0,0.0,210.1999969482422,0.20000000298023224,0,0,0,0
02-01 17:00,208.0,0.0,0.0,208.0,0.0,0,0,0,0
02-01 18:00,231.7,0.0,0.0,231.6999969482422,0.0,0,0,0,0
02-01 19:00,235.4,0.0,0.0,235.39999389648438,0.0,0,0,0,0
02-01 20:00,233.0,0.0,0.0,233.0,0.0,0,0,0,0
02-01 21:00,244.8,0.0,0.0,244.8000030517578,0.0,0,0,0,0
02-01 22:00,250.5,0.0,0.0,250.5,0.0,0,0,0,0
02-01 23:00,257.9,0.0,0.0,257.8999938964844,0.0,0,0,0,0
03-01 00:00,295.2,0.0,0.0,295.20001220703125,0.0,0,0,0,0
03-01 01:00,272.7,0.0,0.0,272.70001220703125,0.0,0,0,0,0
03-01 02:00,296.6,0.0,0.0,296.6000061035156,0.0,0,0,0,0
03-01 03:00,266.9,0.0,0.0,266.8999938964844,0.0,0,0,0,0
03-01 04:00,292.5,0.0,0.0,292.5,0.0,0,0,0,0
03-01 05:00,281.3,0.0,0.0,281.29998779296875,0.0,0,0,0,0
03-01 06:00,273.8,0.0,0.0,273.6000061035156,0.20000000298023224,0,0,0,0
03-01 07:00,271.3,0.0,0.0,271.1000061035156,0.20000000298023224,0,0,0,0
03-01 08:00,253.5,0.0,0.0,253.1999969482422,0.30000001192092896,0,0,0,0
03-01 09:00,221.7,0.0,0.0,221.1999969482422,0.5,0,0,0,0
03-01 10:00,253.3,0.0,0.0,252.8000030517578,0.5,0,0,0,0
03-01 11:00,233.8,0.0,0.0,233.3000030517578,0.5,0,0,0,0
03-01 12:00,238.7,0.0,0.0,238.1999969482422,0.5,0,0,0,0
03-01 13:00,233.1,0.0,0.0,232.60000610351562,0.5,0,0,0,0
03-01 14:00,242.3,0.0,0.0,241.89999389648438,0.4000000059604645,0,0,0,0
03-01 15:00,230.6,0.0,0.0,230.3000030517578,0.30000001192092896,0,0,0,0
03-01 16:00,248.1,0.0,0.0,247.89999389648438,0.20000000298023224,0,0,0,0
03-01 17:00,262.5,0.0,0.0,262.5,0.0,0,0,0,0
03-01 18:00,238.2,0.0,0.0,238.1999969482422,0.0,0,0,0,0
03-01 19:00,279.4,0.0,0.0,279.3999938964844,0.0,0,0,0,0
03-01 20:00,276.7,0.0,0.0,276.70001220703125,0.0,0,0,0,0
