Zeit (TT-MM hh:mm),Wärme gesamt (kW),Kälte gesamt (kW),Strom gesamt (kW),Zone 1-Raumwärme (kW),Zone 1-Trinkwarmwasser (kW),Zone 1-Klimatisierung (kW),Zone 1-Prozesskälte (kW),Zone 1-Nutzerstrom (kW),Zone 1-Elektromobilität (kW)
01-01 00:00,65.4,0.0,0.0,56.099998474121094,9.300000190734863,0,0,0,0
01-01 01:00,67.2,0.0,0.0,57.70000076293945,9.5,0,0,0,0
01-01 02:00,61.4,0.0,0.0,52.70000076293945,8.699999809265137,0,0,0,0
01-01 03:00,65.6,0.0,0.0,55.5,10.100000381469727,0,0,0,0
01-01 04:00,68.6,0.0,0.0,58.20000076293945,10.399999618530273,0,0,0,0
01-01 05:00,72.1,0.0,0.0,58.599998474121094,13.5,0,0,0,0
01-01 06:00,98.1,0.0,0.0,75.9000015258789,22.200000762939453,0,0,0,0
01-01 07:00,167.0,0.0,0.0,130.1999969482422,36.79999923706055,0,0,0,0
01-01 08:00,164.4,0.0,0.0,109.19999694824219,55.20000076293945,0,0,0,0
01-01 09:00,185.6,0.0,0.0,112.4000015258789,73.19999694824219,0,0,0,0
01-01 10:00,197.9,0.0,0.0,116.19999694824219,81.69999694824219,0,0,0,0
01-01 11:00,200.0,0.0,0.0,119.4000015258789,80.5999984741211,0,0,0,0
01-01 12:00,197.4,0.0,0.0,116.69999694824219,80.69999694824219,0,0,0,0
01-01 13:00,199.1,0.0,0.0,120.0999984741211,79.0,0,0,0,0
01-01 14:00,207.7,0.0,0.0,120.5,87.19999694824219,0,0,0,0
01-01 15:00,211.7,0.0,0.0,127.30000305175781,84.4000015258789,0,0,0,0
01-01 16:00,200.8,0.0,0.0,125.5999984741211,75.19999694824219,0,0,0,0
01-01 17:00,175.2,0.0,0.0,114.0999984741211,61.099998474121094,0,0,0,0
01-01 18:00,166.3,0.0,0.0,118.4000015258789,47.900001525878906,0,0,0,0
01-01 19:00,145.9,0.0,0.0,111.0999984741211,34.79999923706055,0,0,0,0
01-01 20:00,133.6,0.0,0.0,108.0999984741211,25.5,0,0,0,0
01-01 21:00,135.1,0.0,0.0,113.4000015258789,21.700000762939453,0,0,0,0
01-01 22:00,122.2,0.0,0.0,109.0,13.199999809265137,0,0,0,0
01-01 23:00,91.6,0.0,0.0,80.5,11.100000381469727,0,0,0,0
02-01 00:00,94.3,0.0,0.0,84.9000015258789,9.399999618530273,0,0,0,0
02-01 01:00,100.3,0.0,0.0,90.69999694824219,9.600000381469727,0,0,0,0
02-01 02:00,98.0,0.0,0.0,88.9000015258789,9.100000381469727,0,0,0,0
02-01 03:00,109.9,0.0,0.0,99.0,10.899999618530273,0,0,0,0
02-01 04:00,110.9,0.0,0.0,99.0,11.800000190734863,0,0,0,0
02-01 05:00,109.4,0.0,0.0,96.0,13.399999618530273,0,0,0,0
02-01 06:00,143.9,0.0,0.0,120.4000015258789,23.5,0,0,0,0
02-01 07:00,242.2,0.0,0.0,204.0,38.20000076293945,0,0,0,0
02-01 08:00,215.2,0.0,0.0,159.6999969482422,55.5,0,0,0,0
02-01 09:00,231.2,0.0,0.0,159.6999969482422,71.5,0,0,0,0
02-01 10:00,250.3,0.0,0.0,174.39999389648438,75.9000015258789,0,0,0,0
02-01 11:00,254.9,0.0,0.0,177.89999389648438,77.0,0,0,0,0
02-01 12:00,267.6,0.0,0.0,188.10000610351562,79.5,0,0,0,0
02-01 13:00,275.4,0.0,0.0,191.8000030517578,83.5999984741211,0,0,0,0
02-01 14:00,248.9,0.0,0.0,171.0,77.9000015258789,0,0,0,0
02-01 15:00,250.9,0.0,0.0,171.60000610351562,79.30000305175781,0,0,0,0
02-01 16:00,254.4,0.0,0.0,178.8000030517578,75.5999984741211,0,0,0,0
02-01 17:00,244.4,0.0,0.0,179.60000610351562,64.80000305175781,0,0,0,0
02-01 18:00,243.5,0.0,0.0,190.6999969482422,52.79999923706055,0,0,0,0
02-01 19:00,208.3,0.0,0.0,171.39999389648438,36.900001525878906,0,0,0,0
02-01 20:00,189.6,0.0,0.0,163.10000610351562,26.5,0,0,0,0
02-01 21:00,195.5,0.0,0.0,173.39999389648438,22.100000381469727,0,0,0,0
02-01 22:00,174.7,0.0,0.0,161.6999969482422,13.0,0,0,0,0
02-01 23:00,118.2,0.0,0.0,106.69999694824219,11.5,0,0,0,0
03-01 00:00,131.3,0.0,0.0,121.5,9.800000190734863,0,0,0,0
03-01 01:00,125.7,0.0,0.0,116.69999694824219,9.0,0,0,0,0
03-01 02:00,132.7,0.0,0.0,123.4000015258789,9.300000190734863,0,0,0,0
03-01 03:00,123.0,0.0,0.0,113.4000015258789,9.600000381469727,0,0,0,0
03-01 04:00,135.7,0.0,0.0,124.19999694824219,11.5,0,0,0,0
