Zeit (TT-MM hh:mm),Wärme gesamt (kW),Kälte gesamt (kW),Strom gesamt (kW),Zone 1-Raumwärme (kW),Zone 1-Trinkwarmwasser (kW),Zone 1-Klimatisierung (kW),Zone 1-Prozesskälte (kW),Zone 1-Nutzerstrom (kW),Zone 1-Elektromobilität (kW)
01-01 00:00,68.2,0.0,0.0,68.19999694824219,0.0,0,0,0,0
01-01 01:00,68.7,0.0,0.0,68.69999694824219,0.0,0,0,0,0
01-01 02:00,59.9,0.0,0.0,59.900001525878906,0.0,0,0,0,0
01-01 03:00,63.1,0.0,0.0,63.099998474121094,0.0,0,0,0,0
01-01 04:00,66.6,0.0,0.0,66.5999984741211,0.0,0,0,0,0
01-01 05:00,64.7,0.0,0.0,64.69999694824219,0.0,0,0,0,0
01-01 06:00,75.3,0.0,0.0,75.4000015258789,0.0,0,0,0,0
01-01 07:00,78.1,0.0,0.0,74.5,3.5999999046325684,0,0,0,0
01-01 08:00,89.6,0.0,0.0,80.5999984741211,9.0,0,0,0,0
01-01 09:00,100.7,0.0,0.0,87.5999984741211,13.100000381469727,0,0,0,0
01-01 10:00,110.2,0.0,0.0,93.0999984741211,17.100000381469727,0,0,0,0
01-01 11:00,117.6,0.0,0.0,97.5999984741211,20.0,0,0,0,0
01-01 12:00,126.8,0.0,0.0,101.19999694824219,25.600000381469727,0,0,0,0
01-01 13:00,160.7,0.0,0.0,126.30000305175781,34.400001525878906,0,0,0,0
01-01 14:00,176.0,0.0,0.0,134.8000030517578,41.20000076293945,0,0,0,0
01-01 15:00,206.1,0.0,0.0,161.39999389648438,44.70000076293945,0,0,0,0
01-01 16:00,193.7,0.0,0.0,153.39999389648438,40.29999923706055,0,0,0,0
01-01 17:00,152.6,0.0,0.0,122.30000305175781,30.299999237060547,0,0,0,0
01-01 18:00,132.4,0.0,0.0,110.80000305175781,21.600000381469727,0,0,0,0
01-01 19:00,121.3,0.0,0.0,103.9000015258789,17.399999618530273,0,0,0,0
01-01 20:00,107.7,0.0,0.0,95.0999984741211,12.600000381469727,0,0,0,0
01-01 21:00,104.4,0.0,0.0,96.0999984741211,8.300000190734863,0,0,0,0
01-01 22:00,94.5,0.0,0.0,93.0,1.5,0,0,0,0
01-01 23:00,98.4,0.0,0.0,96.9000015258789,1.5,0,0,0,0
02-01 00:00,114.7,0.0,0.0,114.69999694824219,0.0,0,0,0,0
02-01 01:00,114.6,0.0,0.0,114.5999984741211,0.0,0,0,0,0
02-01 02:00,104.6,0.0,0.0,104.5999984741211,0.0,0,0,0,0
02-01 03:00,110.8,0.0,0.0,110.80000305175781,0.0,0,0,0,0
02-01 04:00,113.2,0.0,0.0,113.19999694824219,0.0,0,0,0,0
02-01 05:00,109.0,0.0,0.0,109.0,0.0,0,0,0,0
02-01 06:00,144.6,0.0,0.0,140.6999969482422,3.9000000953674316,0,0,0,0
02-01 07:00,179.0,0.0,0.0,156.6999969482422,22.299999237060547,0,0,0,0
02-01 08:00,215.4,0.0,0.0,183.10000610351562,32.29999923706055,0,0,0,0
02-01 09:00,244.3,0.0,0.0,206.0,38.29999923706055,0,0,0,0
02-01 10:00,268.8,0.0,0.0,227.60000610351562,41.20000076293945,0,0,0,0
02-01 11:00,259.2,0.0,0.0,218.1999969482422,41.0,0,0,0,0
02-01 12:00,267.6,0.0,0.0,225.0,42.599998474121094,0,0,0,0
02-01 13:00,290.2,0.0,0.0,240.8000030517578,49.29999923706055,0,0,0,0
02-01 14:00,286.1,0.0,0.0,237.3000030517578,48.79999923706055,0,0,0,0
