Zeit (TT-MM hh:mm),profile_share
01-01 00:00,7.008259490208947e-05
01-01 01:00,7.350125806804506e-05
01-01 02:00,6.837326331911169e-05
01-01 03:00,7.179192648506727e-05
01-01 04:00,7.691992123400065e-05
01-01 05:00,7.691992123400065e-05
01-01 06:00,0.00010255989497866753
01-01 07:00,0.0001281998687233344
01-01 08:00,0.00013674652663822338
01-01 09:00,0.00013161853188929
01-01 10:00,0.0001281998687233344
01-01 11:00,0.00012307187397440103
01-01 12:00,0.0001093972213105787
01-01 13:00,0.00011623454764248985
01-01 14:00,0.00011965321080844545
01-01 15:00,0.00013845585822120117
01-01 16:00,0.00013845585822120117
01-01 17:00,0.00012307187397440103
01-01 18:00,0.0001299092003063122
01-01 19:00,0.0001281998687233344
01-01 20:00,0.00011965321080844545
01-01 21:00,0.00011452521605951207
01-01 22:00,9.743190022973415e-05
01-01 23:00,0.00010597855814462311
02-01 00:00,0.00012478120555737881
02-01 01:00,0.00013503719505524557
02-01 02:00,0.0001281998687233344
02-01 03:00,0.0001333278634722678
02-01 04:00,0.00014358385297013454
02-01 05:00,0.00015554917405097908
02-01 06:00,0.00022392243737009076
02-01 07:00,0.00032819166393173606
02-01 08:00,0.00034186631659555844
02-01 09:00,0.00030597035335302476
02-01 10:00,0.00030426102177004703
02-01 11:00,0.0002888770375232468
02-01 12:00,0.00029058636910622466
02-01 13:00,0.0002922957006892025
02-01 14:00,0.0002786210480253801
02-01 15:00,0.0002940050322721802
02-01 16:00,0.0003076796849360026
02-01 17:00,0.0003008423586040914
02-01 18:00,0.00031793567443386936
02-01 19:00,0.0002871677059402691
02-01 20:00,0.00024956241111475763
02-01 21:00,0.0002205037742041352
02-01 22:00,0.00014187452138715676
02-01 23:00,0.00016067716879991246
03-01 00:00,0.00017777048462969038
03-01 01:00,0.000172642489880757
03-01 02:00,0.00017777048462969038
03-01 03:00,0.0001538398424680013
03-01 04:00,0.00018118914779564595
03-01 05:00,0.00021708511103817957
03-01 06:00,0.00027349305327644676
03-01 07:00,0.0004136582430806257
03-01 08:00,0.0004085302483316923
03-01 09:00,0.0003299009955147139
03-01 10:00,0.00035725030084235855
03-01 11:00,0.00032819166393173606
03-01 12:00,0.0003299009955147139
03-01 13:00,0.00032648233234875833
03-01 14:00,0.000345284979761514
03-01 15:00,0.00033331965868066947
03-01 16:00,0.000353831637676403
03-01 17:00,0.0003726342850891587
03-01 18:00,0.0003299009955147139
03-01 19:00,0.00033502899026364725
03-01 20:00,0.00029058636910622466
03-01 21:00,0.00021024778470626844
03-01 22:00,0.00015896783721693468
03-01 23:00,0.00015213051088502352
04-01 00:00,0.00016067716879991246
04-01 01:00,0.00016409583196586803
04-01 02:00,0.0001760611530467126
04-01 03:00,0.00016751449513182363
04-01 04:00,0.0001743518214637348
04-01 05:00,0.0002017011267913795
04-01 06:00,0.00023588775845093533
04-01 07:00,0.00039656492725084774
04-01 08:00,0.0003845996061700032
04-01 09:00,0.0003093890165189804
04-01 10:00,0.0003093890165189804
04-01 11:00,0.00030597035335302476
04-01 12:00,0.0003093890165189804
04-01 13:00,0.0003008423586040914
04-01 14:00,0.0003008423586040914
04-01 15:00,0.00030426102177004703
04-01 16:00,0.00032648233234875833
04-01 17:00,0.0003025516901870692
04-01 18:00,0.0002837490427743135
04-01 19:00,0.0002581090690296466
04-01 20:00,0.00023588775845093533
04-01 21:00,0.00017777048462969038
04-01 22:00,0.00010597855814462311
04-01 23:00,0.00011110655289355649
05-01 00:00,0.00010426922656164531
05-01 01:00,0.0001076878897276009
05-01 02:00,9.914123181271193e-05
05-01 03:00,9.572256864675635e-05
05-01 04:00,9.914123181271193e-05
05-01 05:00,0.00011965321080844545
05-01 06:00,0.00014187452138715676
05-01 07:00,0.00024614374794880206
05-01 08:00,0.00022563176895306855
05-01 09:00,0.00020511978995733506
05-01 10:00,0.0002187944426211574
05-01 11:00,0.0002153757794552018
05-01 12:00,0.00017947981621266817
05-01 13:00,0.00018289847937862373
05-01 14:00,0.00019999179520840165
05-01 15:00,0.00020341045837435728
05-01 16:00,0.0002205037742041352
05-01 17:00,0.00021024778470626844
05-01 18:00,0.00022221310578711298
05-01 19:00,0.00021708511103817957
05-01 20:00,0.00018802647412755714
05-01 21:00,0.00015725850563395687
05-01 22:00,0.00010426922656164531
05-01 23:00,0.00012136254239142323
06-01 00:00,0.00012649053714035662
06-01 01:00,0.00013503719505524557
06-01 02:00,0.00012478120555737881
06-01 03:00,0.0001299092003063122
06-01 04:00,0.0001538398424680013
06-01 05:00,0.0001760611530467126
06-01 06:00,0.0002205037742041352
06-01 07:00,0.0003384476534296029
06-01 08:00,0.00035725030084235855
06-01 09:00,0.00034186631659555844
06-01 10:00,0.0003196450060168471
06-01 11:00,0.0003093890165189804
06-01 12:00,0.0002871677059402691
06-01 13:00,0.0002940050322721802
06-01 14:00,0.0003162263428508915
06-01 15:00,0.0003162263428508915
06-01 16:00,0.00030597035335302476
06-01 17:00,0.00032819166393173606
06-01 18:00,0.00031109834810195817
06-01 19:00,0.0002837490427743135
06-01 20:00,0.0002615277321956022
06-01 21:00,0.0002017011267913795
06-01 22:00,0.00011965321080844545
06-01 23:00,0.0001470025161360901
07-01 00:00,0.00012478120555737881
07-01 01:00,0.0001470025161360901
07-01 02:00,0.00014187452138715676
07-01 03:00,0.00014529318455311233
07-01 04:00,0.0001504211793020457
07-01 05:00,0.00015213051088502352
07-01 06:00,0.00018118914779564595
07-01 07:00,0.0002187944426211574
07-01 08:00,0.0002393064216168909
07-01 09:00,0.00019999179520840165
07-01 10:00,0.00018631714254457936
07-01 11:00,0.00018631714254457936
07-01 12:00,0.00017947981621266817
07-01 13:00,0.00016922382671480144
07-01 14:00,0.0001333278634722678
07-01 15:00,0.00016922382671480144
07-01 16:00,0.00016580516354884581
07-01 17:00,0.00016922382671480144
07-01 18:00,0.00016751449513182363
07-01 19:00,0.00016751449513182363
07-01 20:00,0.00014529318455311233
07-01 21:00,0.00011965321080844545
07-01 22:00,9.230390548080079e-05
07-01 23:00,0.00010085056339568975
08-01 00:00,0.00010597855814462311
08-01 01:00,0.0001093972213105787
08-01 02:00,0.00010085056339568975
08-01 03:00,9.401323706377857e-05
08-01 04:00,0.00011110655289355649
08-01 05:00,0.00013845585822120117
08-01 06:00,0.00016238650038289025
08-01 07:00,0.00027007439011049114
08-01 08:00,0.00026323706377858
08-01 09:00,0.0002598184006126244
08-01 10:00,0.00024101575319986868
08-01 11:00,0.00024614374794880206
08-01 12:00,0.00022392243737009076
08-01 13:00,0.00021195711628924622
08-01 14:00,0.00024272508478284647
08-01 15:00,0.0002324690952849797
08-01 16:00,0.0002444344163658243
08-01 17:00,0.00024614374794880206
08-01 18:00,0.00025298107428071325
08-01 19:00,0.00022905043211902414
08-01 20:00,0.00021708511103817957
08-01 21:00,0.00016922382671480144
08-01 22:00,0.00011110655289355649
08-01 23:00,0.00011623454764248985
09-01 00:00,0.0001281998687233344
09-01 01:00,0.00013161853188929
09-01 02:00,0.0001470025161360901
09-01 03:00,0.00013674652663822338
09-01 04:00,0.00014529318455311233
09-01 05:00,0.00015725850563395687
09-01 06:00,0.00022563176895306855
09-01 07:00,0.0003521223060934252
09-01 08:00,0.000353831637676403
09-01 09:00,0.00033331965868066947
09-01 10:00,0.0003162263428508915
09-01 11:00,0.0003093890165189804
09-01 12:00,0.00029058636910622466
09-01 13:00,0.00029571436385515806
09-01 14:00,0.0003076796849360026
09-01 15:00,0.0002837490427743135
09-01 16:00,0.0003025516901870692
09-01 17:00,0.00029058636910622466
09-01 18:00,0.0003093890165189804
09-01 19:00,0.00028545837435729125
09-01 20:00,0.00023417842686795752
09-01 21:00,0.00018460781096160157
09-01 22:00,0.00012649053714035662
09-01 23:00,0.00012307187397440103
10-01 00:00,0.00012307187397440103
