Zeit (TT-MM hh:mm),profile_share
01-01 00:00,1.9188628051471574e-05
01-01 01:00,1.9188628051471574e-05
01-01 02:00,1.535090244117726e-05
01-01 03:00,1.535090244117726e-05
01-01 04:00,1.535090244117726e-05
01-01 05:00,1.535090244117726e-05
01-01 06:00,1.535090244117726e-05
01-01 07:00,2.68640792720602e-05
01-01 08:00,5.37281585441204e-05
01-01 09:00,6.140360976470904e-05
01-01 10:00,6.140360976470904e-05
01-01 11:00,5.37281585441204e-05
01-01 12:00,4.6052707323531776e-05
01-01 13:00,3.4539530492648835e-05
01-01 14:00,2.68640792720602e-05
01-01 15:00,2.3026353661765888e-05
01-01 16:00,2.3026353661765888e-05
01-01 17:00,2.3026353661765888e-05
01-01 18:00,2.3026353661765888e-05
01-01 19:00,2.3026353661765888e-05
01-01 20:00,2.3026353661765888e-05
01-01 21:00,2.3026353661765888e-05
01-01 22:00,2.3026353661765888e-05
01-01 23:00,3.070180488235452e-05
02-01 00:00,9.978086586765219e-05
02-01 01:00,9.978086586765219e-05
02-01 02:00,9.210541464706355e-05
02-01 03:00,0.0001036185914779465
02-01 04:00,0.00011129404269853513
02-01 05:00,0.0001535090244117726
02-01 06:00,0.0002494521646691305
02-01 07:00,0.0002302635366176589
02-01 08:00,0.00016118447563236122
02-01 09:00,0.00014583357319118397
02-01 10:00,0.00025328989027942475
02-01 11:00,0.00019956173173530438
02-01 12:00,0.00019188628051471573
02-01 13:00,0.0001535090244117726
02-01 14:00,0.00014583357319118397
02-01 15:00,0.00014967129880147828
02-01 16:00,0.00020339945734559867
02-01 17:00,0.000207237182955893
02-01 18:00,0.00026864079272060205
02-01 19:00,0.00026480306711030774
02-01 20:00,0.00026864079272060205
02-01 21:00,0.00032620667687501676
02-01 22:00,0.0002571276158897191
02-01 23:00,0.0002839916951617793
03-01 00:00,0.00036074620736766563
03-01 01:00,0.0003338821280956054
03-01 02:00,0.000341557579316194
03-01 03:00,0.0002878294207720736
03-01 04:00,0.0003338821280956054
03-01 05:00,0.000414474365911786
03-01 06:00,0.0005411193110514984
03-01 07:00,0.0005180929573897325
03-01 08:00,0.0004336629939632576
03-01 09:00,0.00033771985370589975
03-01 10:00,0.0003722593841985485
03-01 11:00,0.0003338821280956054
03-01 12:00,0.00032236895126472244
03-01 13:00,0.0002839916951617793
03-01 14:00,0.00029550487199266225
03-01 15:00,0.000280153969551485
03-01 16:00,0.00034923303053678264
03-01 17:00,0.00038377256102943146
03-01 18:00,0.00036074620736766563
03-01 19:00,0.0004413384451838462
03-01 20:00,0.00044517617079414053
03-01 21:00,0.00042214981713237465
03-01 22:00,0.0003645839329779599
03-01 23:00,0.0003031803232132509
04-01 00:00,0.000280153969551485
04-01 01:00,0.00027247851833089637
04-01 02:00,0.0002878294207720736
04-01 03:00,0.0002878294207720736
04-01 04:00,0.00029550487199266225
04-01 05:00,0.0003569084817573713
04-01 06:00,0.0003914480122500201
04-01 07:00,0.0004336629939632576
04-01 08:00,0.00036074620736766563
04-01 09:00,0.0003070180488235452
04-01 10:00,0.000280153969551485
04-01 11:00,0.0002302635366176589
04-01 12:00,0.00022258808539707027
04-01 13:00,0.00021875035978677595
04-01 14:00,0.00017653537807353848
04-01 15:00,0.00017653537807353848
04-01 16:00,0.00019956173173530438
04-01 17:00,0.00019572400612501004
04-01 18:00,0.00016118447563236122
04-01 19:00,0.00016885992685294988
04-01 20:00,0.0001842108292941271
04-01 21:00,0.00017653537807353848
04-01 22:00,0.0001036185914779465
04-01 23:00,7.291678659559198e-05
05-01 00:00,1.9188628051471574e-05
05-01 01:00,1.9188628051471574e-05
05-01 02:00,1.535090244117726e-05
05-01 03:00,1.535090244117726e-05
